Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,14,2,0,2,0,3,0,0,2,0,1,0
ICC-Absentee by Mail - 2,11,7,0,1,0,2,1,0,0,0,0,1
ICC-Absentee by Mail - 3,6,4,0,1,0,10,0,0,2,0,1,0
ICC-Absentee by Mail - 4,14,2,1,1,1,3,1,1,0,0,0,1
ICC-Absentee by Mail - 5,0,1,0,0,0,0,0,0,0,0,0,0
AV-Elections Office ICP 1 - 0,836,450,1,127,17,188,26,18,22,17,29,34
ED-4D ICP 1 - 0,137,93,1,38,6,3,4,1,1,3,1,1
ED-5B ICP 1 - 0,80,63,2,14,2,6,0,0,1,1,2,1
ED-2 ICP 1 - 0,56,38,2,7,4,94,16,7,3,12,13,15
ED-4B ICP 1 - 0,121,80,1,24,9,2,0,1,1,0,1,0
ED-3A1 ICP 1 - 0,103,63,1,26,6,1,0,0,0,0,0,1
ED-1C ICP 1 - 0,88,68,0,12,0,2,0,1,1,0,0,0
ED-3C ICP 1 - 0,111,66,1,16,1,23,2,1,2,4,1,7
ED-5A ICP 1 - 0,70,45,0,10,4,5,0,1,2,2,1,1
ED-1B ICP 1 - 0,127,73,0,24,6,4,0,2,0,6,2,3
