Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
Absentee By Mail ICC - 1,6,9,0,0,0,15,0,1,1,2,0,4
ED-West Green ICP 1 - 0,86,99,0,39,6,4,0,0,0,1,2,1
ED-Bridgetown ICP 1 - 0,14,28,0,10,4,16,0,0,1,1,0,5
ED-Ambrose ICP 1 - 0,67,107,4,36,3,27,0,2,3,3,5,11
ED-Douglas ICP 1 - 0,158,296,3,83,7,215,2,7,10,20,29,88
ED-Douglas ICP 2 - 0,113,273,6,85,15,172,5,13,8,27,28,57
ED-Broxton ICP 1 - 0,77,164,4,45,11,56,1,5,3,5,8,18
ED-Nicholls ICP 1 - 0,66,136,3,41,3,29,3,3,6,2,4,8
AV-Elections Office ICP 1 - 0,432,815,13,243,25,334,8,11,28,27,35,121
Provisional ICC - 1,0,1,0,0,0,0,0,0,0,0,0,0
