Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
Absentee By Mail ICC 2 - 1,0,0,1,0,1,10,0,0,4,6,0,0
Absentee By Mail ICC 2 - 2,1,3,0,0,1,6,1,0,3,8,0,0
Absentee By Mail ICC 1 - 8,1,0,0,0,1,17,0,1,5,7,0,17
Absentee By Mail ICC 1 - 9,3,1,0,3,1,17,0,0,7,6,0,13
Absentee By Mail ICC 1 - 10,0,1,0,0,2,19,1,0,1,3,0,22
Absentee By Mail ICC 1 - 11,0,2,0,2,0,12,0,0,8,7,0,17
Absentee By Mail ICC 1 - 12,3,4,0,3,0,17,0,1,3,5,0,9
Absentee By Mail ICC 1 - 13,5,2,2,4,0,17,0,1,7,1,0,10
Absentee By Mail ICC 1 - 14,0,1,0,1,0,24,0,0,0,8,1,15
Absentee By Mail ICC 1 - 15,2,1,0,4,1,18,0,0,2,13,0,9
Absentee By Mail ICC 1 - 16,5,2,0,3,0,10,0,0,1,16,0,11
Absentee By Mail ICC 1 - 17,7,2,0,2,0,17,0,0,4,6,1,9
Absentee By Mail ICC 1 - 18,1,0,0,1,0,18,0,0,5,7,0,17
Absentee By Mail ICC 1 - 19,2,4,0,0,1,16,0,1,4,9,0,11
Absentee By Mail ICC 1 - 20,0,2,0,4,0,11,0,0,3,5,0,23
Absentee By Mail ICC 1 - 21,2,1,0,2,0,15,0,0,5,4,0,18
Absentee By Mail ICC 1 - 22,2,4,0,0,1,20,0,0,7,5,0,10
Absentee By Mail ICC 1 - 23,2,3,0,2,0,19,0,0,6,5,0,11
Absentee By Mail ICC 1 - 24,1,1,0,1,1,17,0,0,5,11,0,13
Absentee By Mail ICC 1 - 25,3,2,0,9,0,18,0,0,4,6,0,6
Absentee By Mail ICC 1 - 26,2,4,0,4,0,18,0,0,3,4,0,15
Absentee By Mail ICC 1 - 27,1,1,0,2,1,18,0,0,5,5,0,17
Absentee By Mail ICC 1 - 28,2,0,0,1,1,20,0,0,2,7,0,17
Absentee By Mail ICC 1 - 29,2,4,0,3,0,16,0,0,2,10,1,9
Absentee By Mail ICC 1 - 30,2,1,0,2,0,20,0,0,2,8,0,13
Absentee By Mail ICC 1 - 31,0,0,0,2,0,14,0,0,8,8,0,17
Absentee By Mail ICC 1 - 32,3,2,0,2,2,9,1,0,9,10,0,8
Absentee By Mail ICC 1 - 33,3,0,0,5,0,17,0,0,3,5,0,13
Absentee By Mail ICC 1 - 34,2,1,0,1,0,15,0,0,5,4,0,22
Absentee By Mail ICC 2 - 3,1,0,0,0,0,5,0,0,3,5,0,0
Absentee By Mail ICC 1 - 37,1,1,1,10,2,14,0,0,4,6,1,9
Absentee By Mail ICC 1 - 38,3,0,0,3,0,21,0,0,4,8,0,8
Absentee By Mail ICC 1 - 39,1,4,0,6,0,17,0,0,5,5,0,10
Absentee By Mail ICC 1 - 40,2,4,0,1,0,15,0,0,1,8,0,18
Absentee By Mail ICC 1 - 41,0,2,0,1,1,16,0,0,1,5,0,23
Absentee By Mail ICC 1 - 42,3,0,0,1,0,11,0,0,3,9,0,23
Absentee By Mail ICC 1 - 43,1,0,0,0,0,4,0,0,2,8,0,9
Absentee By Mail ICC 1 - 44,4,1,0,3,0,17,0,0,3,6,0,15
Absentee By Mail ICC 3 - 1,0,0,0,0,0,3,0,0,0,0,0,4
Absentee By Mail ICC 1 - 45,1,2,1,5,1,18,0,1,3,7,0,7
Absentee By Mail ICC 1 - 46,0,3,0,0,0,15,0,0,7,7,1,17
Absentee By Mail ICC 1 - 47,0,0,0,1,1,18,0,0,4,6,0,19
Absentee By Mail ICC 1 - 48,1,2,2,6,2,13,0,0,3,6,0,10
Absentee By Mail ICC 1 - 49,3,1,0,5,2,18,0,0,3,10,0,7
Absentee By Mail ICC 2 - 4,0,0,0,0,0,3,0,0,0,1,0,1
Absentee By Mail ICC 1 - 50,0,0,0,4,0,18,1,0,1,4,0,9
Absentee By Mail ICC 1 - 51,0,2,0,2,0,14,0,0,1,11,0,16
Absentee By Mail ICC 1 - 52,2,0,0,3,0,18,0,0,2,6,1,17
Absentee By Mail ICC 1 - 53,0,1,0,3,0,12,0,0,6,12,0,11
Absentee By Mail ICC 1 - 54,1,0,0,3,0,20,1,0,3,9,0,8
Absentee By Mail ICC 1 - 55,2,3,0,3,0,24,0,1,4,7,0,6
Absentee By Mail ICC 1 - 56,2,3,0,0,0,15,0,3,4,5,0,17
Absentee By Mail ICC 1 - 57,1,7,0,3,1,15,0,0,2,5,1,10
AV-North Dekalb Senior Center All,177,256,32,358,33,1179,26,45,320,1118,29,274
AV-Hairston Crossing ICP 1 - 0,22,15,5,13,2,935,19,25,38,182,15,479
AV-Clarkston Library All,26,23,6,32,9,679,23,26,87,525,25,334
AV-Redan-Trotti Library ICP 1 - 0,11,3,2,6,3,1177,17,11,43,165,20,604
Advance Voting Central ICP 11 - 0,41,57,4,146,10,323,7,12,91,346,9,119
AV-Wesley Chapel Library All,26,18,3,19,11,2439,33,27,174,386,45,1922
AV-Reid H. Cofer Library ICP 2 - 0,189,226,22,385,39,1027,16,21,334,939,23,483
AV-Emory ICP 2 - 0,42,55,10,130,17,547,11,27,388,1359,18,156
AV-Reid H. Cofer Library ICP 1 - 0,201,257,19,432,37,1112,14,31,321,967,18,424
AV-Salem-Panola ICP 1 - 0,18,16,1,10,6,1908,17,20,96,227,37,1203
AV-Dunwoody ICP 2 - 0,159,263,28,372,34,624,10,22,267,476,7,167
Advance Voting Central ICP 1 - 0,17,20,3,16,8,1636,15,20,75,205,36,884
AV-Berean ICP 2 - 0,8,14,1,19,3,1632,25,19,95,200,21,897
AV-Neighborhood Church ICP 1 - 0,21,33,9,61,11,347,3,17,253,1321,10,129
AV-Emory ICP 1 - 0,46,59,13,115,17,525,10,24,342,1419,13,182
AV-Stonecrest ICP 1 - 0,27,13,1,5,4,1515,16,17,80,206,26,816
AV-Bessie Branham ICP 1 - 0,21,31,13,83,9,824,20,46,296,2325,23,347
AV-New Bethel ICP 1 - 0,12,14,0,9,3,1326,7,10,63,193,20,602
