Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,243,224,6,197,23,2974,68,77,183,245,210,820
Absentee By Mail ICC - 1,2,2,0,1,0,30,0,3,3,1,1,7
ED-Albany Middle School ICP 1 - 0,7,4,1,1,0,145,6,2,5,9,14,36
ED-Westtown Elementary School ICP 1 - 0,6,4,0,2,1,314,12,9,10,14,29,95
ED-Lamar Reese School ICP 1 - 0,1,2,0,1,0,144,4,0,3,3,7,46
ED-Litman Cathedral ICP 1 - 0,0,2,0,2,0,120,3,3,4,8,8,26
ED-Robert H. Harvey Elementary School - 0,0,3,2,0,0,182,4,0,3,12,21,34
ED-Shiloh Baptist Church ICP 1 - 0,2,1,0,0,0,96,3,3,3,3,7,28
Absentee By Mail ICC - 2,0,4,0,1,2,22,0,1,6,2,0,12
ED-ASU East Campus ICP 1 - 0,1,6,1,0,0,121,1,1,2,6,7,28
ED-Merry Acres Middle School ICP 1 - 0,50,67,1,40,4,164,1,7,25,20,12,37
ED-Christ Church ICP 1 - 0,111,101,4,112,7,137,2,5,16,18,4,36
ED-Pine Bluff Baptist Church ICP 1 - 0,40,42,2,19,5,194,6,4,7,5,11,51
Absentee By Mail ICC - 3,3,6,0,0,0,30,0,0,2,0,0,8
ED-Radium Middle School ICP 1 - 0,5,10,0,7,0,64,2,1,4,8,3,13
ED-Turner Elementary School ICP 1 - 0,10,18,0,3,2,153,5,3,5,16,14,54
ED-Alice Coachman Elementary ICP 1 - 0,0,1,2,0,0,96,4,0,2,7,9,28
Absentee By Mail ICC - 4,0,1,0,1,0,20,1,0,3,5,1,13
Absentee By Mail ICC - 5,3,0,0,1,0,31,0,0,2,2,0,4
ED-2nd Mt. Zion Church ICP 1 - 0,47,65,3,25,4,111,3,1,7,8,7,28
ED-Sherwood Elem School ICP 1 - 0,51,60,1,22,5,233,6,9,11,21,12,40
ED-International Studies ICP 1 - 0,18,23,2,9,1,121,2,0,6,13,2,41
ED-First Mount Olive ICP 1 - 0,3,4,2,2,1,337,6,11,7,15,21,82
ED-ASU West Campus ICP 1 - 0,22,35,0,23,1,312,3,8,11,32,14,71
ED-Putney 1st Baptist Church ICP 1 - 0,75,71,4,33,7,194,3,3,14,22,13,53
ED-Greenbriar Church ICP 1 - 0,131,145,3,138,12,299,8,4,26,26,13,59
ED-Albany High School ICP 1 - 0,47,58,1,34,4,158,4,4,16,22,12,41
ED-Westover High School ICP 1 - 1,113,138,3,98,11,384,4,9,41,45,28,71
ED-Albany High School ICP 2 - 1,1,4,0,2,1,0,0,0,0,0,0,1
ED-Westover High School ICP 1 - 2,3,3,1,2,0,6,0,0,0,2,0,2
ED-Covenant Church ICP 1 - 0,45,59,3,29,3,150,2,8,11,17,11,23
Absentee By Mail ICC - 6,0,0,0,0,0,1,0,0,0,0,0,0
Provisional ICC - 1,1,0,1,1,0,8,0,1,0,1,0,2
