Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,18,9,1,8,3,5,0,0,2,0,0,0
ICC-Absentee by Mail - 2,27,6,1,8,0,3,0,0,1,0,0,1
ICC-Absentee by Mail - 3,4,8,0,5,0,2,0,0,1,1,0,0
AV-County Courthouse ICP 1 - 0,569,490,10,567,63,112,4,8,31,33,4,23
ED-Berea-Steadman ICP 1 - 0,31,50,1,41,1,4,1,0,0,2,1,1
ED-Seventh ICP 1 - 0,96,94,1,94,7,27,0,1,1,4,1,3
ED-Little Creek ICP 1 - 0,48,59,3,59,3,3,0,0,1,0,1,0
ED-Buchanan ICP 1 - 0,128,97,3,130,13,11,0,3,2,6,0,2
ED-Twentieth ICP 1 - 0,49,38,0,64,7,7,0,1,2,2,1,0
ED-Corinth ICP 1 - 0,98,79,1,99,6,8,0,0,1,5,1,2
ED-Felton ICP 1 - 0,30,34,1,14,2,0,0,0,0,1,0,0
ED-Waco ICP 1 - 0,70,68,1,54,8,15,0,1,2,2,0,3
ED-Buncombe ICP 1 - 0,48,62,2,72,5,8,0,2,5,3,0,1
ED-Tallapoosa ICP 1 - 0,118,111,2,172,22,24,3,2,8,8,3,4
ED-Bremen ICP 1 - 0,237,264,4,256,17,71,1,8,13,26,7,14
ED-Mt View ICP 1 - 0,28,24,0,26,3,2,0,0,1,0,0,0
ICC-Absentee by Mail - 4,0,0,0,0,0,2,0,0,0,0,0,0
