Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Fairview Rec Center  ICP 1 - 0,67,129,5,121,8,1830,24,19,120,249,34,751
AV-Fortson Library  ICP 1 - 0,264,490,9,357,41,2389,34,19,130,279,56,437
AV-Locust Grove Library  ICP 1 - 0,269,694,9,282,25,1912,31,42,127,257,74,349
AV-JP Moseley Rec Center  ICP 1 - 0,269,528,8,426,32,2132,32,23,166,300,43,487
ICC-Absentee by Mail - 1,12,19,0,16,2,0,0,0,0,0,0,0
ICC-Absentee by Mail - 2,11,20,0,13,3,0,0,0,0,0,0,0
ICC-Absentee by Mail - 3,8,21,0,18,0,0,0,0,0,0,0,0
AV-Merle Manders Conf Center  ICP 1 - 0,128,177,4,160,16,1814,26,15,129,243,52,508
AV-Merle Manders Conf Center  ICP 2 - 0,127,169,3,151,20,1822,21,20,120,235,50,527
AV-Elections and Registration  ICP 1 - 0,153,508,6,226,21,1544,28,24,85,150,45,290
AV-Elections and Registration  ICP 2 - 0,214,502,8,281,22,1987,23,25,125,211,53,396
AV-Elections and Registration  ICP 3 - 0,18,39,1,17,0,340,5,6,11,90,16,61
ICC-Absentee by Mail - 5,1,1,0,2,0,24,0,3,4,3,0,9
ICC-Absentee by Mail - 8,0,0,0,0,0,23,0,0,12,3,1,10
ICC-Absentee by Mail - 9,0,0,0,0,0,32,1,1,5,3,0,7
ICC-Absentee by Mail - 12,0,0,0,0,0,35,1,0,3,5,2,2
ICC-Absentee by Mail - 13,0,0,0,0,0,20,0,1,10,5,0,10
ICC-Absentee by Mail - 14,0,0,0,0,0,19,0,0,6,3,0,17
ICC-Absentee by Mail - 20,0,0,0,0,0,32,2,0,5,5,0,4
ICC-Absentee by Mail - 21,14,13,0,20,1,0,0,0,0,0,0,0
ICC-Absentee by Mail - 22,0,0,0,0,0,29,1,0,2,4,0,12
ED-Mt Bethel  ICP 1 - 0,71,231,1,134,3,173,6,8,7,46,7,36
ED-McDonough Central  ICP 1 - 0,31,47,0,44,7,310,9,5,12,42,5,48
ED-Timberridge  ICP 1 - 0,40,122,1,67,4,164,1,1,14,20,11,28
ED-Flippen  ICP 1 - 0,18,31,1,22,3,344,5,3,18,50,11,57
ED-East Lake  ICP 1 - 0,48,141,2,127,8,228,2,3,16,56,5,39
ED-Oakland  ICP 1 - 0,57,74,2,74,2,273,3,7,21,59,18,40
ED-Lake Haven  ICP 1 - 0,58,92,3,85,5,237,2,3,14,55,12,53
ED-Tussahaw  ICP 1 - 0,63,176,2,90,9,56,0,2,6,23,4,7
ED-Shiloh  ICP 1 - 0,8,28,1,29,4,249,3,4,11,46,8,50
ED-Ellenwood  ICP 1 - 0,18,15,0,20,0,317,5,6,15,49,9,92
ED-Stockbridge Central  ICP 1 - 0,12,8,0,10,2,100,1,1,9,36,4,16
ED-Stockbridge Central  ICP 2 - 0,7,10,0,12,1,121,2,2,2,26,6,15
ED-Swan Lake  ICP 1 - 0,47,66,2,92,14,145,1,3,8,50,3,41
ED-Shakerag  ICP 1 - 0,12,18,1,8,5,316,5,6,11,67,6,88
ED-Unity Grove  ICP 1 - 0,57,168,1,93,10,203,1,2,14,46,6,30
ED-Pates Creek  ICP 1 - 0,41,68,2,68,1,312,8,5,18,81,12,58
ED-Pleasant Grove  ICP 1 - 0,44,91,2,89,7,256,5,9,9,53,10,50
ED-Austin Road  ICP 1 - 0,13,48,0,32,6,260,5,3,4,36,4,76
ED-McMullen  ICP 1 - 0,64,186,1,123,12,212,6,3,5,40,5,36
ED-Lake Dow  ICP 1 - 0,76,183,0,134,4,279,3,3,26,51,5,65
ICC-Absentee by Mail - 23,0,1,0,3,0,12,0,0,1,0,0,1
ICC-Absentee by Mail - 24,0,0,0,1,0,4,0,0,0,0,0,1
ICC-Absentee by Mail - 25,0,4,0,6,1,10,1,0,0,1,0,6
ED-Sandy Ridge  ICP 1 - 0,70,215,3,166,8,163,4,9,12,37,6,12
ED-North Hampton  ICP 1 - 0,59,67,2,49,3,410,8,9,12,65,8,65
ED-Lighthouse  ICP 1 - 0,27,40,2,77,4,298,2,1,13,49,11,50
ED-Stockbridge East-West  ICP 2 - 0,15,19,3,20,1,395,6,6,10,81,9,69
ED-Stagecoach  ICP 1 - 0,24,26,1,22,2,106,1,0,9,25,2,33
ED-Stagecoach  ICP 2 - 0,7,8,0,0,0,26,1,0,2,5,2,6
ED-Cotton Indian  ICP 1 - 0,35,54,3,67,5,348,3,12,15,69,8,45
ED-McDonough  ICP 1 - 0,21,37,1,20,1,245,1,4,11,53,9,48
ED-South Hampton  ICP 1 - 0,51,88,5,91,3,280,4,4,14,75,6,36
ICC-Election Day - 2,6,12,1,12,3,71,0,2,2,9,3,22
ED-Dutchtown  ICP 1 - 0,26,47,1,54,2,205,2,2,12,39,3,34
ED-Westside  ICP 2 - 0,6,6,1,7,2,178,4,4,9,42,3,15
ED-Westside  ICP 1 - 0,9,12,1,6,4,171,6,4,6,22,9,27
ED-Kelleytown  ICP 1 - 0,46,162,3,104,5,254,3,4,10,35,4,56
ED-Lowes  ICP 1 - 0,15,41,3,18,3,319,3,5,15,54,15,39
ED-Lowes  ICP 2 - 0,16,30,0,22,3,323,4,4,10,66,11,40
ED-Hickory Flat  ICP 1 - 0,34,42,1,56,4,421,7,6,17,96,6,72
ED-Red Oak  ICP 1 - 0,7,22,1,19,2,538,13,7,32,133,10,95
ED-Grove Park  ICP 1 - 0,27,97,2,62,4,233,2,0,11,64,10,38
ED-Locust Grove  ICP 1 - 0,29,56,3,40,5,463,7,7,25,76,17,67
ED-Mt Carmel ICP 1 - 0,24,39,4,33,4,598,9,6,22,116,14,89
ED-Wesley Lakes  ICP 1 - 0,5,11,0,12,0,221,1,6,10,52,5,28
ED-Wesley Lakes  ICP 2 - 0,7,25,0,18,1,312,5,1,5,65,7,46
ICC-Election Day - 3,0,0,0,0,0,0,0,0,0,0,0,0
ICC-Provisional - 1,1,1,0,1,0,25,1,0,0,1,0,5
ICC-Absentee by Mail - 26,0,1,0,0,0,1,0,0,1,0,0,0
