Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,78,150,3,131,8,423,8,16,40,49,33,123
ED-Louisville ICP 1 - 0,40,52,3,64,8,189,2,6,14,35,12,37
ICC-Absentee by Mail - 1,0,0,0,2,0,16,0,1,0,5,0,1
ICC-Absentee by Mail - 4,0,1,0,1,1,13,0,0,1,3,0,5
ICC-Absentee by Mail - 3,2,0,0,0,0,7,0,0,4,3,0,7
ICC-Absentee by Mail - 2,0,0,0,2,0,9,0,0,3,4,0,6
ICC-Absentee by Mail - 5,1,0,0,0,0,12,1,0,0,5,0,8
ED-Wadley ICP 1 - 0,14,14,0,17,0,161,0,5,15,11,18,39
ED-Stapleton Crossroads ICP 1 - 0,14,24,0,13,2,28,0,0,2,2,2,7
ED-Avera ICP 1 - 0,35,40,0,26,4,5,0,2,2,2,2,2
ED-Matthews ICP 1 - 0,22,64,1,35,4,27,1,4,3,1,7,4
ED-Bartow ICP 1 - 0,10,10,1,13,3,25,0,3,3,1,7,6
ED-Stapleton ICP 1 - 0,31,54,3,19,2,25,1,1,1,5,1,7
ED-Wrens ICP 1 - 0,64,122,5,69,5,184,6,7,8,13,20,66
ICC-Provisional - 1,1,0,0,0,0,0,0,0,0,0,0,0
