Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,2,9,0,2,2,35,0,0,13,10,2,23
ICC-Absentee by Mail - 2,19,44,1,44,4,0,0,0,0,0,0,0
ICC-Absentee by Mail - 3,0,0,0,0,0,3,0,0,0,0,0,2
ICC-Absentee by Mail - 4,5,3,0,5,0,1,0,1,0,1,0,1
AV-Elections Office ICP 1 - 0,308,1048,20,929,50,321,8,12,171,154,11,206
AV-Elections Office ICP 2 - 0,305,1018,19,936,42,361,5,13,183,145,15,193
ED-Oconee South ICP 1 - 0,67,268,1,215,16,47,3,4,21,24,3,23
ED-Dark Corner ICP 1 - 0,81,275,4,337,13,45,0,1,19,42,7,25
ED-Oconee NE ICP 1 - 0,118,332,14,390,24,131,4,10,40,57,9,43
ED-Oconee Central ICP 1 - 0,77,261,8,266,11,86,5,7,34,52,3,35
ED-Oconee Central ICP 2 - 0,69,260,9,282,20,104,2,8,35,51,2,55
ED-Oconee Central ICP 3 - 0,73,250,3,255,14,113,4,8,31,61,8,67
ICC-Provisional - 1,0,2,0,0,0,1,0,0,1,0,0,0
ICC-Absentee by Mail - 5,1,0,0,0,0,1,0,0,0,0,0,0
