Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,5,9,0,3,0,4,0,0,1,0,0,3
ICC-Absentee by Mail - 2,3,10,0,1,1,4,0,0,1,2,0,2
ICC-Absentee by Mail - 3,1,5,0,3,3,9,0,0,1,1,0,2
ICC-Absentee by Mail - 4,4,4,0,2,0,6,0,0,1,3,0,4
ICC-Absentee by Mail - 5,3,6,1,6,0,5,0,0,1,0,0,2
ICC-Absentee by Mail - 6,4,11,0,1,0,1,0,0,1,2,0,2
AV-Elections Office ICP 1 - 0,407,1352,10,578,51,341,2,11,62,56,16,165
ED-101 ICP 1 - 0,39,123,3,47,11,132,1,3,4,17,6,46
ED-107 ICP 1 - 0,99,348,5,156,15,69,0,4,13,18,9,17
ED-106 ICP 1 - 0,58,137,1,70,5,18,0,0,6,6,2,2
ICC-Election Day - 1,5,27,0,11,0,0,0,0,0,1,0,1
ICC-Election Day - 2,12,16,0,19,0,5,0,0,0,0,0,1
ICC-Election Day - 3,6,31,0,25,0,5,0,0,2,1,0,1
ICC-Election Day - 4,7,32,1,17,0,4,0,1,1,1,0,0
ICC-Election Day - 5,15,24,0,19,0,2,0,0,2,1,0,0
ICC-Election Day - 6,7,27,0,21,2,1,0,0,1,2,1,2
ICC-Election Day - 7,13,26,0,20,1,3,0,0,1,3,0,0
ICC-Election Day - 8,10,26,0,20,0,3,0,0,2,1,0,1
ICC-Election Day - 9,9,24,1,14,4,7,0,0,3,1,0,0
ICC-Election Day - 10,6,26,0,12,0,3,0,0,0,0,0,2
ICC-Election Day - 11,12,20,0,18,1,8,0,0,0,1,0,0
ICC-Election Day - 12,8,19,0,13,0,3,0,1,1,1,0,0
ICC-Election Day - 13,9,20,0,17,2,4,0,0,0,0,0,1
ED-104 ICP 1 - 0,33,153,2,61,5,165,1,2,9,28,3,47
ICC-Provisional - 1,0,1,0,0,0,1,0,0,0,0,1,0
