Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,0,0,0,0,0,10,0,1,9,3,0,2
ICC-Absentee by Mail - 2,6,4,0,8,2,1,0,0,2,0,0,1
ICC-Absentee by Mail - 3,11,7,2,4,1,0,0,0,0,0,0,0
ICC-Absentee by Mail - 4,7,8,0,6,2,0,0,0,0,0,0,0
ICC-Absentee by Mail - 5,4,2,0,9,1,0,0,0,0,0,0,0
AV-Elections Office ICP 2 - 0,184,335,8,496,43,85,3,6,71,40,1,40
AV-Elections Office ICP 1 - 0,185,343,11,496,43,86,1,7,58,35,1,44
ED-Rabun County ICP 1 - 0,56,122,2,150,7,25,0,4,13,14,1,15
ED-Rabun County ICP 2 - 0,56,121,3,168,8,19,0,2,12,9,0,8
ICC-Absentee by Mail - 6,7,10,0,4,1,4,0,0,0,0,0,0
ICC-Election Day - 1,1,16,1,31,0,0,0,0,0,0,0,0
ICC-Election Day - 2,10,10,0,27,0,0,0,0,0,0,0,0
ICC-Election Day - 3,11,15,0,20,1,0,0,0,0,0,0,0
ICC-Election Day - 4,4,4,0,17,0,0,0,0,0,0,0,0
ICC-Election Day - 5,3,7,0,15,0,0,0,0,0,0,0,0
ICC-Election Day - 6,1,8,0,14,2,0,0,0,0,0,0,0
ICC-Election Day - 7,5,9,0,10,0,0,0,0,0,0,0,0
ICC-Election Day - 8,2,9,0,11,0,0,0,0,0,0,0,0
ICC-Election Day - 9,3,13,0,8,0,0,0,0,0,0,0,0
ICC-Election Day - 10,4,13,0,4,1,0,0,0,0,0,0,0
ICC-Election Day - 11,4,7,0,10,3,0,0,0,0,0,0,0
ICC-Election Day - 12,1,11,0,12,0,0,0,0,0,0,0,0
ICC-Election Day - 13,6,3,0,15,0,0,0,0,0,0,0,0
ICC-Election Day - 14,8,6,0,11,0,0,0,0,0,0,0,0
ICC-Election Day - 15,6,5,0,12,1,0,0,0,0,0,0,0
ICC-Election Day - 16,3,9,0,10,1,0,0,0,0,0,0,0
ICC-Election Day - 17,4,6,0,14,1,0,0,0,0,0,0,0
ICC-Election Day - 18,7,5,0,11,0,0,0,0,0,0,0,0
ICC-Election Day - 19,4,5,1,12,0,0,0,0,0,0,0,0
ICC-Election Day - 20,1,3,1,20,0,0,0,0,0,0,0,0
ICC-Election Day - 21,4,12,0,7,0,0,0,0,0,0,0,0
ICC-Election Day - 22,0,0,0,0,0,13,1,0,4,7,1,2
ICC-Election Day - 23,2,6,0,6,2,8,1,0,9,6,2,4
ICC-Election Day - 24,0,0,0,0,0,20,0,2,3,13,2,11
