Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ED-Stephens County ICP 3 - 0,89,342,13,153,17,68,3,8,9,21,3,17
ED-Stephens County ICP 2 - 0,19,75,2,26,5,23,0,1,2,6,2,1
AV-Courthouse ICP 2 - 0,256,905,12,350,67,126,3,15,24,29,6,36
AV-Courthouse ICP 1 - 0,150,485,6,211,48,69,2,9,17,13,2,19
ICC-Absentee by Mail - 1,5,30,0,3,1,5,0,0,1,1,0,1
ICC-Absentee by Mail - 2,5,18,0,6,3,9,0,0,2,0,0,4
ICC-Absentee by Mail - 3,6,14,0,10,3,6,0,1,4,0,0,2
ICC-Absentee by Mail - 4,9,8,0,5,0,2,0,0,0,1,0,5
ED-Stephens County ICP 1 - 0,78,349,5,137,24,51,2,5,9,19,2,9
ICC-Provisional - 1,0,1,0,0,0,0,0,0,0,0,0,0
