Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
Absentee By Mail ICC - 1,0,1,0,1,0,18,0,0,0,2,1,2
Absentee By Mail ICC - 2,1,3,0,5,0,14,0,0,1,0,0,1
Absentee By Mail ICC - 3,0,5,0,4,0,8,1,0,3,1,0,3
Absentee By Mail ICC - 4,2,6,1,1,0,7,0,0,0,1,1,1
AV-Elections Office ICP 1 - 0,345,925,19,471,102,986,13,57,152,141,78,197
ED-Central ICP 1 - 0,46,141,1,45,8,84,2,5,13,15,6,11
ED-Jerger-Scott ICP 1 - 0,38,149,1,108,15,99,5,6,14,27,2,23
ED-Boston ICP 1 - 0,21,72,1,27,6,59,1,2,3,7,7,9
ED-Gatlin Creek ICP 1 - 0,44,88,3,41,12,42,0,5,2,6,2,4
ED-Coolidge-Merrillville ICP 1 - 0,42,99,0,34,7,24,1,2,3,6,4,6
ED-New Covenant ICP 1 - 0,38,108,0,41,11,45,0,1,0,7,2,8
ED-Remington Esc ICP 1 - 0,26,54,1,29,11,61,3,3,4,15,3,7
ED-Meigs ICP 1 - 0,21,30,0,10,5,34,1,2,5,6,3,3
ED-Douglass ICP 1 - 0,9,11,0,5,2,141,5,4,6,7,8,21
ED-Metcalfe ICP 1 - 0,7,20,0,7,1,11,0,0,2,1,0,1
ED-Pavo-Patten ICP 1 - 0,29,62,1,40,3,9,0,1,3,2,0,0
ED-Resource Center ICP 1 - 0,2,1,0,5,2,86,2,1,2,5,4,20
ED-Fire Station 2 ICP 1 - 0,29,84,1,50,13,28,0,2,7,5,0,6
ED-Ochlocknee ICP 1 - 0,33,73,0,16,4,16,1,2,0,4,3,2
ED-Little Ochlocknee Baptist ICP 1 - 0,37,77,1,16,9,17,1,0,1,6,0,1
ED-Barwick ICP 1 - 0,19,45,1,10,1,7,1,3,5,2,3,3
Absentee By Mail ICC - 5,2,0,0,0,0,9,1,0,3,0,0,1
ED-Harper ICP 1 - 0,10,21,1,18,3,124,1,3,7,10,7,13
Absentee By Mail ICC - 6,1,0,0,0,0,0,0,0,0,0,0,0
Provisional ICC - 1,1,0,0,1,0,0,0,0,0,0,0,0
