Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,0,1,0,0,0,13,1,0,0,0,1,4
ICC-Absentee by Mail - 2,2,0,0,2,0,15,1,0,0,0,0,0
ICC-Absentee by Mail - 3,0,0,0,0,0,18,0,1,0,0,0,1
ICC-Absentee by Mail - 4,0,0,0,0,0,16,0,0,0,0,0,4
ICC-Absentee by Mail - 5,0,2,0,0,0,12,0,0,2,0,0,2
ICC-Absentee by Mail - 6,0,0,0,0,0,6,0,0,0,0,0,1
AV-Elections Office ICP 1 - 0,70,119,2,36,7,217,3,6,12,30,10,54
ED-Dry Branch ICP 1 - 0,58,87,0,22,8,25,4,3,3,6,1,6
ED-Shady Grove Tarvers 1 - 0,15,41,1,13,4,46,0,2,2,3,5,12
ED-Jeffersonville Ware ICP 1 - 0,24,42,0,13,3,96,1,3,2,7,5,12
ED-Golden Isles ICP 1 - 0,35,53,1,18,7,156,0,4,5,15,5,19
ED-Higgsville ICP 1 - 0,40,63,0,20,1,15,0,0,0,2,2,4
