Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP4 - 0,1537
Advance Voting,AV-Elections Office ICP 2 - 0,3028
Advance Voting,AV-Elections Office ICP 1 - 0,1528
Absentee by Mail,ICC-Absentee by Mail - 11,2
Absentee by Mail,ICC-Absentee by Mail - 12,12
Absentee by Mail,ICC-Absentee by Mail - 10,15
Absentee by Mail,ICC-Absentee by Mail - 2,49
Absentee by Mail,ICC-Absentee by Mail - 9,47
Absentee by Mail,ICC-Absentee by Mail - 3,47
Absentee by Mail,ICC-Absentee by Mail - 4,46
Absentee by Mail,ICC-Absentee by Mail - 8,49
Absentee by Mail,ICC-Absentee by Mail - 7,48
Absentee by Mail,ICC-Absentee by Mail - 6,48
Absentee by Mail,ICC-Absentee by Mail - 5,48
Absentee by Mail,ICC-Absentee by Mail - 1,47
Election Day,ED-01 ICP 1 - 0,339
Election Day,ED-01 ICP 2 - 0,160
Election Day,ED-13 ICP 1 - 0,584
Election Day,ED-13 ICP 2 - 0,530
Election Day,ED-04 ICP 1 - 0,478
Election Day,ED-05 ICP 1 - 0,680
Election Day,ED-05 ICP 2 - 0,681
Election Day,ED-08 ICP 1 - 0,420
Election Day,ED-08 ICP 2 - 0,420
Election Day,ED-03 ICP 1 - 0,464
Election Day,ED-03 ICP 2 - 0,469
Election Day,ED-02 ICP 1 - 0,565
Election Day,ED-02 ICP 2 - 0,573
Election Day,ED-16 ICP 1 - 0,797
Election Day,ED-16 ICP 2 - 0,390
Provisional,ICC-Provisional - 1,4
