Container,Batch Name,Number of Ballots
Advance Voting,AV-Eastside ICP 3 - 0,1825
Advance Voting,AV-Eastside ICP 2 - 0,1776
Advance Voting,AV-Eastside ICP 1 - 0,1872
Advance Voting,AV-Elections Office ICP 1 - 0,1547
Advance Voting,AV-Elections Office ICP 2 - 0,1338
Advance Voting,AV-Elections Office ICP 3 - 0,1519
Advance Voting,AV-Elections Office ICP 4 - 0,1514
Advance Voting,AV-Elections Office ICP 5 - 0,1089
Absentee by Mail,ICC-Absentee by Mail - 1,49
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,49
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,47
Absentee by Mail,ICC-Absentee by Mail - 6,25
Absentee by Mail,ICC-Absentee by Mail - 7,3
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,1
Absentee by Mail,ICC-Absentee by Mail - 12,50
Absentee by Mail,ICC-Absentee by Mail - 13,28
Absentee by Mail,ICC-Absentee by Mail - 14,4
Election Day,ED-Expo Center ICP 1 - 0,489
Election Day,ED-Dresden ICP 1 - 0,198
Election Day,ED-Grantville ICP 1 - 0,422
Election Day,ED-Pine Road ICP 1 - 0,430
Election Day,ED-Moreland ICP 1 - 0,678
Election Day,ED-Raymond ICP 1 - 0,519
Election Day,ED-Haralson ICP 1 - 0,524
Election Day,ED-Central ICP 1 - 0,512
Election Day,ED-Westside ICP 1 - 0,162
Election Day,ED-White Oak ICP 1 - 0,602
Election Day,ED-Smokey Road ICP 1 - 0,440
Election Day,ED-Thomas Crossroads ICP 2 - 0,436
Election Day,ED-Thomas Crossroads ICP 1 - 0,376
Election Day,ED-Welcome ICP 1 - 0,782
Election Day,ED-Panther Creek ICP 1 - 0,623
Election Day,ED-Coweta Central Library ICP 1 - 0,304
Election Day,ED-Northside ICP 1 - 0,536
Election Day,ED-Newnan ICP 1 - 0,525
Election Day,ED-Sharpsburg ICP 1 - 0,757
Election Day,ED-Turin ICP 1 - 0,409
Election Day,ED-Turin ICP 2 - 0,411
Election Day,ED-Newnan Centre ICP 1 - 0,762
Election Day,ED-Newnan Centre ICP 2 - 0,862
Election Day,ED-Newnan Centre ICP 3 - 0,820
Election Day,ED-Canongate ICP 1 - 0,815
Election Day,ED-Canongate ICP 2 - 0,666
Election Day,ED-Greentop ICP 1 - 0,582
Election Day,ED-Senoia ICP 1 - 0,613
Election Day,ED-Senoia ICP 2 - 0,600
Election Day,ED-Madras ICP 1 - 0,721
Election Day,ED-Madras ICP 2 - 0,1290
Absentee by Mail,ICC-Absentee by Mail - 15,3
Provisional,ICC-Provisional - 1,6
