Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 5,24
Absentee by Mail,ICC-Absentee by Mail - 9,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 7,25
Absentee by Mail,ICC-Absentee by Mail - 8,25
Absentee by Mail,ICC-Absentee by Mail - 6,25
Absentee by Mail,ICC-Absentee by Mail - 1,14
Advance Voting,AV-Elections Office ICP 1 - 0,2014
Advance Voting,AV-SSSI ICP 1 - 0,3357
Advance Voting,AV-BAL ICP 1 - 0,2640
Absentee by Mail,ICC-Absentee by Mail - 11,25
Absentee by Mail,ICC-Absentee by Mail - 14,25
Absentee by Mail,ICC-Absentee by Mail - 13,25
Absentee by Mail,ICC-Absentee by Mail - 12,25
Absentee by Mail,ICC-Absentee by Mail - 15,25
Absentee by Mail,ICC-Absentee by Mail - 10,25
Absentee by Mail,ICC-Absentee by Mail - 17,9
Absentee by Mail,ICC-Absentee by Mail - 16,13
Absentee by Mail,ICC-Absentee by Mail - 18,25
Election Day,ED-BWKC ICP 1 - 0,173
Election Day,ED-BLY ICP 1 - 0,275
Election Day,ED-JI ICP 1 - 0,239
Election Day,ED-SSIC ICP 1 - 0,843
Election Day,ED-BWKS ICP 1 - 0,357
Election Day,ED-BWKN ICP 1 - 0,214
Election Day,ED-SSIN ICP 1 - 0,754
Election Day,ED-NGLYN ICP 1 - 0,723
Election Day,ED-EGLYN ICP 1 - 0,508
Election Day,ED-CGLYN ICP 1 - 0,800
Election Day,ED-SSIS ICP 1 - 0,511
Election Day,ED-WGLYN ICP 1 - 0,492
Election Day,ED-BAL ICP 1 - 0,440
Election Day,ED-SGLYN ICP 1 - 0,906
Provisional,ICC-Provisional - 1,18
Absentee by Mail,ICC - Absentee by Mail 2 - 1,3
