Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,1999
Advance Voting,AV-Elections Office ICP 2 - 0,922
Election Day,ED-Oostanaula ICP 1 - 0,150
Election Day,ED-Resaca ICP 1 - 0,245
Election Day,ED-Gordon County ICP 2 - 0,920
Election Day,ED-Gordon County ICP 1 - 0,761
Election Day,ED-Lily Pond ICP 1 - 0,344
Election Day,ED-Oakman ICP 1 - 0,232
Election Day,ED-Sonoraville ICP 1 - 0,928
Election Day,ED-Fairmount ICP 1 - 0,430
Absentee by Mail,Absentee by mail ICP - 0,142
Election Day,ED-Plainville ICP 1 - 0,339
Election Day,ED-Pine Chapel ICP 1 - 0,269
Election Day,ED-Red Bud ICP 1 - 0,499
Election Day,ED-Sugar Valley ICP 1 - 0,308
Provisional,ICC-Provisional - 1,2
