Container,Batch Name,Number of Ballots
Advance Voting,AV-Commerce Park ICP 1 - 0,234
Advance Voting,AV-Commerce Park ICP 2 - 0,406
Advance Voting,AV-Muni Building ICP 1 - 0,842
Advance Voting,AV-Muni Building ICP 2 - 0,593
Advance Voting,AV-Elections Office ICP 1 - 0,1141
Advance Voting,AV-Elections Office ICP 3 - 0,2510
Advance Voting,AV-Elections Office ICP 4 - 0,941
Advance Voting,AV-Elections Office ICP 5 - 0,53
Absentee by Mail,ICC-Absentee by Mail 1 - 2,48
Absentee by Mail,ICC-Absentee by Mail 1 - 1,38
Absentee by Mail,ICC-Absentee by Mail 1 - 3,58
Absentee by Mail,ICC-Absentee by Mail 1 - 4,24
Absentee by Mail,ICC-Absentee by Mail 1 - 5,14
Absentee by Mail,ICC-Absentee by Mail 1 - 6,25
Absentee by Mail,ICC-Absentee by Mail 1 - 7,33
Absentee by Mail,ICC-Absentee by Mail 1 - 8,5
Absentee by Mail,ICC-Absentee by Mail 1 - 9,12
Absentee by Mail,ICC-Absentee by Mail 1 - 10,10
Advance Voting,AV-Elections Office ICP 2 - 0,1395
Election Day,ED-North Jackson ICP 1 - 0,884
Election Day,ED-North Jackson ICP 2 - 0,635
Election Day,ED-Central Jackson ICP 4 - 0,284
Election Day,ED-Central Jackson ICP 1 - 0,726
Election Day,ED-Central Jackson ICP 2 - 0,533
Election Day,ED-Central Jackson ICP 3 - 0,323
Election Day,ED-South Jackson ICP 1 - 0,649
Election Day,ED-South Jackson ICP 2 - 0,502
Election Day,ED-West Jackson ICP 1 - 0,485
Election Day,ED-West Jackson ICP 2 - 0,587
Election Day,ED-West Jackson ICP 3 - 0,694
Election Day,ED-West Jackson ICP 4 - 0,589
Provisional,ICC-Provisional 1 - 1,9
