Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,1163
Election Day,ED-Louisville ICP 1 - 0,509
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 5,27
Election Day,ED-Wadley ICP 1 - 0,343
Election Day,ED-Stapleton Crossroads ICP 1 - 0,102
Election Day,ED-Avera ICP 1 - 0,124
Election Day,ED-Matthews ICP 1 - 0,181
Election Day,ED-Bartow ICP 1 - 0,98
Election Day,ED-Stapleton ICP 1 - 0,157
Election Day,ED-Wrens ICP 1 - 0,606
Provisional,ICC-Provisional - 1,2
