Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 6,22
Advance Voting,AV-Elections Office ICP 1 - 0,3156
Election Day,ED-101 ICP 1 - 0,444
Election Day,ED-107 ICP 1 - 0,770
Election Day,ED-106 ICP 1 - 0,318
Election Day,ICC-Election Day - 1,46
Election Day,ICC-Election Day - 2,54
Election Day,ICC-Election Day - 3,74
Election Day,ICC-Election Day - 4,65
Election Day,ICC-Election Day - 5,65
Election Day,ICC-Election Day - 6,66
Election Day,ICC-Election Day - 7,68
Election Day,ICC-Election Day - 8,65
Election Day,ICC-Election Day - 9,63
Election Day,ICC-Election Day - 10,53
Election Day,ICC-Election Day - 11,62
Election Day,ICC-Election Day - 12,46
Election Day,ICC-Election Day - 13,55
Election Day,ED-104 ICP 1 - 0,521
Provisional,ICC-Provisional - 1,3
