Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,42
Absentee by Mail,ICC-Absentee by Mail - 2,1
Advance Voting,AV-Elections Office ICP 1 - 0,277
Advance Voting,AV-Elections Office ICP 2 - 0,274
Election Day,ED-Geneva ICP 1 - 0,89
Election Day,ED-Junction City ICP 1 - 0,66
Election Day,ED-ONeal ICP 1 - 0,98
Election Day,ED-Box Springs ICP 1 - 0,91
Election Day,Election Day Central ICP 1 - 0,67
Election Day,ED-Valley ICP 2 - 0,99
Election Day,ED-Talbotton ICP 1 - 0,68
Election Day,ED-Talbotton ICP 2 - 0,77
Election Day,ED-Flint Hill ICP 1 - 0,153
Election Day,ED-Flint Hill ICP 2 - 0,103
