Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,50
Absentee by Mail,Absentee By Mail ICC - 2,50
Absentee by Mail,Absentee By Mail ICC - 3,26
Advance Voting,AV-Administrative Building ICP 1 - 0,311
Advance Voting,AV-Elections Office ICP 1 - 0,1878
Election Day,ED-406 - Jamestown Baptist Church ICP 1 - 0,311
Election Day,ED-408 - Millwood Baptist Church ICP 1 - 0,143
Election Day,ED-304 - Emerson Park ICP 1 - 0,131
Election Day,ED-200C-400-Second Baptist Church ICP 1 - 0,546
Election Day,ED-407 - Manor Commmunity Center ICP 1 - 0,170
Election Day,Election Day Central ICC - 1,11
Election Day,ED-404 - Bickley UM Church ICP 1 - 0,107
Election Day,ED-409 - Waresboro Church of God ICP 1 - 0,212
Election Day,ED-200A - Memorial Stadium ICP 1 - 0,347
Election Day,ED-300 - Ware BoE Transportation ICP 1 - 0,455
Election Day,ED-100-200B - City Auditorium ICP 1 - 0,370
Election Day,Election Day Central ICC - 2,2
Election Day,ED-405 - Haywood Baptist Church ICP 1 - 0,132
Provisional,Provisional ICC - 1,1
