Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee By Mail - 1,3,4,0,3,0,0,0,0,0,0,0,0
ICC-Absentee By Mail - 2,1,3,0,1,0,1,0,0,0,0,0,0
ICC-Absentee By Mail - 3,1,2,0,4,0,0,0,0,1,0,0,0
ICC-Absentee By Mail - 4,2,5,0,1,0,1,0,0,0,0,0,1
ICC-Absentee By Mail - 5,2,2,0,3,0,2,1,0,0,0,0,0
ICC-Absentee By Mail - 6,2,4,0,1,0,0,0,0,1,0,1,1
ICC-Absentee By Mail - 7,2,3,0,1,0,0,0,0,1,0,0,2
ICC-Absentee By Mail - 8,2,6,0,2,0,0,0,0,0,0,0,0
ICC-Absentee By Mail - 9,0,0,0,1,0,0,0,0,0,0,0,0
AV-Elections Office ICP 1 - 0,353,560,9,476,30,65,2,1,24,22,4,14
AV-Elections Office ICP 2 - 0,50,50,0,36,4,2,0,1,1,3,0,0
ICC-Absentee By Mail - 10,1,1,0,0,0,0,0,0,0,0,0,0
ED- Elections Office ICP 1 - 0,149,233,4,212,17,22,0,2,9,16,4,2
ED- Elections Office ICP 2 - 0,141,346,9,284,13,23,1,5,10,16,3,2
