Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,7,3,1,4,1,2,1,0,0,1,0,1
ICC-Absentee by Mail - 2,5,7,2,8,1,0,0,0,0,0,0,0
ICC-Absentee by Mail - 3,9,8,0,6,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 4,9,10,0,4,2,0,0,0,0,0,0,0
ICC-Absentee by Mail - 5,11,7,0,5,2,0,0,0,0,0,0,0
ICC-Absentee by Mail - 6,0,0,0,0,0,12,0,0,4,6,0,0
ICC-Absentee by Mail - 7,2,5,2,14,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 8,6,2,0,6,1,7,0,1,0,0,0,2
ICC-Absentee by Mail - 9,0,0,0,0,0,14,0,0,7,4,0,0
ICC-Absentee by Mail - 10,12,8,1,4,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 11,0,0,0,0,0,11,0,0,5,3,1,5
ICC-Absentee by Mail - 12,0,0,0,0,0,13,0,2,6,2,0,2
ICC-Absentee by Mail - 13,9,4,0,10,1,0,0,0,0,0,0,0
ICC-Absentee by Mail - 14,2,0,0,1,0,0,0,0,1,0,1,0
ICC-Absentee by Mail - 15,0,1,0,1,0,0,0,0,0,0,0,0
AV-Civic Center ICP 2 - 0,136,198,7,222,13,143,3,3,28,52,1,27
AV-Civic Center ICP 1 - 0,119,199,3,211,10,128,3,3,33,40,3,17
AV-VR Office ICP 1 - 0,1014,1344,42,1103,92,824,13,35,121,187,27,157
AV-Advance North ICP 1 - 0,78,137,2,98,9,68,2,5,16,20,1,11
AV-Advance South ICP 1 - 0,58,82,3,60,7,43,2,2,6,27,0,8
ED-Allatoona ICP 1 - 0,117,123,6,125,15,88,4,1,16,47,2,11
ED-Woodland ICP 1 - 0,37,63,3,53,7,27,3,2,5,10,3,4
ED-Cartersville East ICP 2 - 0,88,183,1,189,16,114,5,8,18,50,10,16
ED-Zena Drive ICP 1 - 0,73,121,5,98,10,128,4,6,12,60,9,23
ED-Cassville ICP 1 - 0,69,115,4,83,12,67,0,3,9,28,6,15
ED-Mission Road ICP 1 - 0,91,124,2,138,10,72,2,3,15,29,3,6
ED-Folsom ICP 1 - 0,55,96,2,82,8,9,1,0,6,12,0,0
ED-Emerson ICP 1 - 0,121,148,3,172,8,29,2,2,14,26,1,11
ED-White ICP 1 - 0,84,160,6,133,6,31,0,0,5,15,2,6
ED-Cartersville West ICP 1 - 0,154,297,9,337,30,167,2,11,26,61,1,25
ED-Cartersville West ICP 2 - 0,27,23,0,33,1,21,0,1,5,9,1,3
ED-Adairsville ICP 2 - 0,159,228,6,199,34,129,2,7,14,49,5,19
ED-Taylorsville ICP 1 - 0,104,201,3,184,18,19,0,0,11,7,2,3
ED-Euharlee ICP 1 - 0,151,234,8,186,11,102,3,5,9,43,0,10
ED-Hamilton Crossing ICP 2 - 0,163,253,8,203,28,112,0,7,18,58,8,14
ED-Kingston ICP 1 - 0,90,145,3,143,7,39,0,3,9,10,2,10
ED-Center ICP 1 - 0,134,173,6,232,15,62,4,5,11,15,4,11
ED-Pine Log ICP 1 - 0,79,163,1,122,5,12,0,2,2,8,4,1
ICC-Absentee by Mail - 16,0,0,0,0,0,0,0,0,1,0,0,0
ICC-Provisional - 1,2,2,0,0,0,0,0,0,0,0,0,0
