Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,1,22,0,5,0,10,0,0,2,0,1,6
ICC-Absentee by Mail - 3,0,1,0,0,1,2,0,0,0,0,0,0
ICC-Absentee by Mail - 2,1,15,0,0,0,4,0,0,6,0,0,3
ICC-Absentee by Mail - 4,0,2,0,0,0,2,0,0,0,0,0,0
AV-Elections Office ICP 1 - 0,153,1090,4,161,16,279,1,11,24,24,6,101
ED-County Admin Judicial Ctr ICP 1 - 0,66,405,3,110,7,204,0,9,10,26,4,31
ED-County Admin Judicial Ctr ICP 2 - 0,67,417,3,107,10,199,0,7,10,30,9,51
ICC-Advance In Person - 1,3,26,1,5,1,8,0,0,0,0,0,4
ICC-Advance In Person - 2,5,63,0,7,1,14,0,0,0,2,0,3
ICC-Advance In Person - 3,11,61,0,13,0,11,0,0,0,1,0,2
ICC-Advance In Person - 4,7,58,0,5,0,20,0,0,0,1,0,5
ICC-Advance In Person - 5,10,57,0,7,0,10,0,2,1,0,1,7
ICC-Advance In Person - 6,4,63,0,7,1,18,0,0,3,0,1,1
ICC-Advance In Person - 7,5,63,0,8,0,16,0,0,2,1,0,4
ICC-Advance In Person - 8,5,56,0,11,1,17,0,0,1,1,0,5
ICC-Advance In Person - 9,14,54,1,6,3,14,1,0,0,1,1,3
ICC-Advance In Person - 10,14,46,0,9,2,16,0,0,1,1,0,8
ICC-Advance In Person - 11,5,12,0,5,0,3,0,0,0,0,0,0
ICC-Advance In Person - 12,2,3,0,2,0,3,0,0,0,0,0,0
ICC-Advance In Person - 13,7,59,1,6,0,14,0,1,1,2,0,3
ICC-Advance In Person - 14,6,61,0,2,1,18,0,1,1,1,0,5
ICC-Advance In Person - 15,9,59,1,8,3,12,0,0,2,0,0,5
ICC-Advance In Person - 16,9,60,1,4,2,13,0,0,2,0,0,7
ICC-Advance In Person - 17,5,59,0,10,2,12,0,0,1,0,0,7
ICC-Advance In Person - 18,10,63,0,5,0,10,0,1,0,0,0,8
ICC-Advance In Person - 19,10,62,0,6,0,13,0,0,1,3,0,4
ICC-Advance In Person - 20,13,59,1,4,0,15,1,0,2,1,1,2
ICC-Advance In Person - 21,10,65,0,7,1,8,0,1,3,0,0,5
ICC-Advance In Person - 22,9,37,0,5,1,9,0,0,0,0,0,3
ICC-Advance In Person - 23,1,13,0,1,0,3,0,0,0,0,0,1
ICC-Absentee by Mail - 5,0,0,0,0,0,1,0,0,0,0,0,1
ICC-Provisional - 1,0,1,0,0,0,0,0,0,0,0,0,0
