Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee By Mail 1 - 1,0,0,0,0,0,28,0,1,2,7,0,2
ICC-Absentee By Mail 1 - 2,0,0,0,0,0,31,1,0,1,0,3,9
ICC-Absentee By Mail 1 - 3,0,0,0,0,0,28,0,0,2,6,0,3
ICC-Absentee By Mail 1 - 4,0,0,0,0,0,26,1,0,1,4,0,6
ICC-Absentee By Mail 1 - 5,0,0,0,0,0,27,0,1,5,3,2,2
ICC-Absentee By Mail 1 - 6,0,0,0,0,0,24,0,0,5,5,1,4
ICC-Absentee By Mail 1 - 7,0,0,0,0,0,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 8,26,8,0,4,2,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 9,0,0,0,0,0,35,0,1,0,1,0,2
ICC-Absentee By Mail 1 - 10,27,3,2,5,1,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 11,0,0,0,0,0,22,0,2,4,6,1,5
ICC-Absentee By Mail 1 - 12,0,0,0,0,0,19,0,0,7,10,1,3
ICC-Absentee By Mail 1 - 13,0,0,0,0,0,27,0,0,2,3,1,6
ICC-Absentee By Mail 1 - 14,22,7,2,6,0,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 15,0,0,0,0,0,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 16,0,1,0,0,0,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 17,0,0,0,0,0,3,0,1,0,1,0,0
ICC-Absentee By Mail 1 - 18,9,3,0,0,2,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 19,0,0,0,0,0,23,0,3,7,2,0,5
ICC-Absentee By Mail 1 - 20,0,0,0,0,0,25,0,0,1,4,2,8
ICC-Absentee By Mail 1 - 21,0,0,0,0,0,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 22,0,0,0,0,0,23,0,0,5,5,0,4
ICC-Absentee By Mail 1 - 23,0,0,0,0,0,26,0,1,2,3,0,8
ICC-Absentee By Mail 1 - 24,27,7,0,6,0,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 25,0,0,0,0,0,37,0,0,5,1,2,9
ICC-Absentee By Mail 1 - 26,30,4,0,3,3,0,0,0,0,0,0,0
ICC-Absentee By Mail 1 - 27,0,0,0,0,0,31,0,0,3,5,0,0
ICC-Absentee By Mail 1 - 28,0,0,0,0,0,27,0,1,5,4,1,2
ICC-Absentee By Mail 1 - 29,0,0,0,0,0,34,0,0,1,2,0,3
ICC-Absentee By Mail 1 - 30,35,9,0,4,0,0,0,0,1,0,0,0
AV-Islands Library ICP 1 - 0,937,269,9,159,19,420,10,25,121,187,20,79
AV-Voter Registration Annex Building ICP 1 - 0,634,312,10,116,26,2096,32,71,205,342,94,343
AV-Voter Registration Annex Building ICP 2 - 0,538,268,9,117,28,1728,31,40,170,372,68,281
AV-Voter Registration Annex Building ICP 3 - 0,338,157,8,59,11,1032,22,26,94,224,53,176
AV- Southwest Library ICP 2 - 0,247,85,3,38,17,562,11,16,65,121,18,79
