Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC - Absentee by Mail 2 - 1,4,4,0,0,0,15,0,0,0,0,0,28
ICC - Absentee By Mail 3 - 1,6,9,0,3,1,19,1,0,6,4,0,16
ICC - Absentee By Mail 3 - 2,4,4,2,4,0,11,0,1,5,1,0,15
ICC - Absentee by Mail 2 - 2,2,4,0,6,0,15,0,0,6,0,0,10
ICC - Absentee By Mail 3 - 3,2,8,0,8,0,7,0,1,0,3,0,17
ICC - Absentee by Mail 2 - 3,7,13,0,6,0,15,0,0,7,0,1,14
ICC - Absentee by Mail 2 - 4,3,7,0,6,2,7,0,0,2,3,0,20
ICC - Absentee by Mail 2 - 5,3,4,0,9,3,9,0,0,1,2,0,14
ICC - Absentee By Mail 3 - 4,1,7,0,7,0,5,0,0,3,1,0,22
ICC - Absentee By Mail 3 - 5,2,4,0,11,1,7,0,0,6,2,0,13
ICC - Absentee by Mail 2 - 6,2,3,0,3,1,12,0,1,4,3,1,14
ICC - Absentee by Mail 2 - 7,3,3,0,5,0,6,0,0,3,0,1,24
ICC - Absentee by Mail 2 - 8,0,3,0,6,0,11,0,0,4,3,0,15
ICC - Absentee by Mail 2 - 9,0,4,0,2,0,2,0,0,9,3,0,8
AV - ACC Tennis Center ICP 1 - 0,53,139,9,151,11,309,3,12,81,141,7,301
AV - Miriam Moore Comm Center ICP 1 - 0,8,8,0,7,3,128,2,0,11,42,2,272
AV - ACC Tennis Center ICP 2 - 0,31,116,5,108,7,277,3,8,63,108,15,261
AV - ACC Cooperative Ext Office ICP 1 - 0,89,269,5,235,14,266,3,10,76,94,7,244
AV - ACC Library ICP 1 - 0,59,179,11,263,24,614,9,14,119,236,16,521
AV - Board of Elections ICP 1 - 0,93,241,8,332,18,958,15,18,178,421,26,1225
ED - 7C  ICP 1 - 0,6,30,4,69,0,74,3,5,27,71,4,62
AV - ACC Library ICP 2 - 0,50,202,11,317,17,621,9,25,144,300,15,581
ED - 8A  ICP 1 - 0,11,22,1,27,2,133,2,7,24,83,10,59
ED - 5C  ICP 1 - 0,9,18,2,51,3,243,0,7,36,131,4,167
ED - 4B  ICP 1 - 0,10,50,1,93,7,120,6,5,25,90,2,70
ED - 1D  ICP 1 - 0,37,107,7,129,19,215,5,6,42,72,7,158
ED - 6B  ICP 1 - 0,41,96,2,134,11,185,2,12,29,71,9,86
ED - 8C  ICP 1 - 0,26,61,3,53,6,159,1,10,27,77,4,87
ED - 8B  ICP 1 - 0,7,27,1,16,3,111,3,4,10,49,4,77
ED - 2C  ICP 1 - 0,0,5,1,7,0,76,1,2,5,20,1,123
ED - 3A  ICP 1 - 0,7,20,1,28,1,99,2,2,2,49,1,58
ED - 7A- 7B  ICP 1 - 0,17,53,3,103,9,143,4,4,21,54,4,77
ED - 7A- 7B  ICP 2 - 0,19,50,2,112,6,110,1,3,21,68,4,94
ED - 2B  ICP 1 - 0,5,13,2,14,2,162,4,9,7,55,7,86
ED - 1B  ICP 1 - 0,22,47,3,58,1,152,1,4,17,47,3,99
ED - 1A  ICP 1 - 0,35,85,3,89,16,154,6,7,20,67,2,115
ED - 4A  ICP 1 - 0,21,44,0,33,4,106,1,8,6,45,10,85
ED - 1C  ICP 1 - 0,18,55,3,69,12,174,11,8,31,112,6,111
ED - 2A  ICP 1 - 0,16,25,1,32,2,178,4,6,11,49,5,159
ED - 6C  ICP 1 - 0,40,84,2,94,5,139,2,6,26,98,7,100
ICC - Election Day 2 - 1,0,0,0,0,0,1,0,0,0,3,0,0
ICC - Election Day 2 - 2,0,4,0,2,2,10,0,0,2,4,0,2
ED - 3B  ICP 1 - 0,5,9,0,15,3,86,3,4,16,78,5,61
ED - 5B  ICP 1 - 0,19,64,1,80,8,188,1,9,24,85,6,111
ED - 5A  ICP 1 - 0,12,33,4,46,5,251,1,3,19,110,7,147
ICC - Election Day 2 - 3,1,6,1,2,0,8,0,1,0,5,0,9
ED - 6A  ICP 1 - 0,34,99,2,93,6,199,3,5,15,69,7,101
ED - 5D  ICP 1 - 0,19,46,2,57,5,220,2,6,32,95,3,155
ICC - Absentee by Mail 2 - 10,3,3,0,1,0,8,1,0,4,3,0,4
ICC - Absentee by Mail 2 - 11,0,1,0,0,0,1,0,0,0,1,0,1
ICC - Provisional 2 - 1,0,3,0,0,0,5,0,1,1,1,0,2
