Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,346,721,12,225,55,430,13,27,42,45,37,86
Absentee By Mail ICC - 1,5,6,0,0,0,9,0,1,3,0,2,5
Absentee By Mail ICC - 2,3,7,0,2,1,6,0,0,3,0,0,3
ED-Doerun ICP 1 - 0,26,52,0,17,2,25,0,1,1,1,5,13
ED-Funston ICP 1 - 0,35,118,1,24,9,7,1,1,3,3,3,10
ED-Hartsfield ICP 1 - 0,42,54,0,9,2,0,0,0,0,1,0,1
ED-Lee ICP 1 - 0,31,72,1,23,2,6,0,0,1,3,2,2
ED-Bridgecreek ICP 1 - 0,34,110,0,13,7,4,0,0,0,3,0,0
ED-Millcreek ICP 1 - 0,22,33,0,10,2,5,0,0,2,1,0,0
ED-Thigpen ICP 1 - 0,15,38,2,13,5,3,0,0,2,0,0,2
ED-Monk ICP 1 - 0,46,97,0,20,8,16,0,1,0,2,0,3
ED-Warrior ICP 1 - 0,40,84,3,33,4,4,0,0,3,2,0,0
ED-Shaw ICP 2 - 0,15,18,1,8,0,93,3,2,2,7,5,51
ED-TyTy ICP 1 - 0,24,54,3,16,3,1,0,1,0,7,1,0
ED-Crosland ICP 1 - 0,14,34,0,6,1,5,0,0,1,1,0,0
ED-Robinson ICP 1 - 0,34,71,1,12,4,9,0,0,1,2,3,1
ED-Moultrie ICP 1 - 0,76,192,4,63,16,107,5,2,13,14,4,12
ED-Hopewell ICP 1 - 0,49,92,0,27,9,9,0,2,0,4,3,4
ED-Hamilton ICP 1 - 0,36,73,0,15,3,3,0,0,7,0,0,0
ED-Autreyville ICP 1 - 0,39,95,0,18,8,18,0,2,1,0,4,6
ED-Murphy ICP 1 - 0,38,100,0,31,6,11,1,0,4,5,1,3
ED-Norman Park ICP 1 - 0,74,127,0,30,5,44,2,1,5,10,1,12
Provisional ICC - 1,1,0,0,0,0,0,0,0,0,0,0,0
