Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-G3  ICP 3 - 0,176,505,8,184,22,435,5,14,56,68,22,55
AV-G3  ICP 2 - 0,399,1056,10,397,47,713,12,28,99,114,29,111
AV-G3  ICP 1 - 0,385,961,25,362,49,699,10,31,99,93,17,77
AV-CCBOE-Support Complex  ICP 2 - 0,156,429,8,162,21,226,7,15,48,47,8,18
AV-CCBOE-Support Complex  ICP 1 - 0,156,385,6,208,27,207,6,12,43,37,18,24
AV-Former Euchee Creek Library  ICP 1 - 0,173,505,8,142,27,461,9,20,52,41,17,54
AV-Former Euchee Creek Library  ICP 3 - 0,80,253,2,66,10,435,17,11,33,71,14,46
AV-Former Euchee Creek Library  ICP 2 - 0,161,415,16,119,29,458,9,19,41,46,9,35
ED-Columbia Co Health Dept  ICP 1 - 0,27,45,4,29,6,211,2,8,7,39,6,16
ED-Harlem Branch Library  ICP 1 - 0,74,158,4,64,10,88,3,5,11,18,8,15
ICC-Absentee by Mail 3 - 13,0,0,0,0,0,0,0,0,0,0,0,0
ICC-Absentee by Mail 3 - 12,0,0,0,0,0,3,0,0,1,1,0,2
ICC-Absentee by Mail 3 - 14,3,1,0,0,0,3,0,2,2,1,0,0
ICC-Absentee by Mail 3 - 15,5,13,0,8,2,13,0,0,1,5,0,1
ICC-Absentee by Mail 3 - 10,0,0,0,0,0,24,0,2,12,5,3,4
ICC-Absentee by Mail 3 - 11,0,0,0,0,0,33,0,1,8,6,1,0
ICC-Absentee by Mail 3 - 16,8,6,2,7,1,9,0,1,2,4,0,3
ICC-Absentee by Mail 3 - 2,5,27,0,11,3,0,0,0,0,0,0,0
ICC-Absentee by Mail 3 - 17,3,7,0,8,1,15,0,1,0,0,0,4
ICC-Absentee by Mail 3 - 6,4,11,0,8,1,0,0,0,0,0,0,0
ICC-Absentee by Mail 3 - 7,0,0,0,0,0,35,1,0,3,2,0,8
ICC-Absentee by Mail 3 - 3,15,20,0,7,2,0,0,0,0,0,0,0
ICC-Absentee by Mail 3 - 8,0,0,0,0,0,31,1,3,2,7,1,5
ICC-Absentee by Mail 3 - 5,5,23,1,10,3,0,0,0,0,0,0,0
ICC-Absentee by Mail 3 - 4,10,16,1,19,2,0,0,0,0,0,0,0
ICC-Absentee by Mail 3 - 1,12,25,0,6,4,0,0,0,0,0,0,0
ED-Woodlawn Bapt Church  ICP 1 - 0,37,109,3,41,6,45,2,2,7,12,2,4
ED-Damascus Bapt Church  ICP 1 - 0,62,128,3,62,6,9,0,0,8,2,0,1
ED-Stevens Creek Church  ICP 1 - 0,71,222,4,147,14,96,1,6,27,28,9,12
ED-Christ The King Church  ICP 1 - 0,48,122,5,60,3,49,2,6,9,14,2,5
ED-Stevens Creek Church - Grovetown  ICP 1 - 0,33,69,1,29,5,106,5,3,7,24,4,9
ED-Grovetown Methodist  ICP 1 - 0,31,68,2,24,12,205,1,7,11,27,13,8
ED-Christ Church Presbyterian  ICP 1 - 0,83,203,8,150,4,78,1,4,13,31,4,11
ED-G A Apostolic Church  ICP 1 - 0,45,114,1,51,9,95,2,2,8,18,7,4
ED-Grovetown Branch Library  ICP 1 - 0,24,28,1,13,4,99,1,4,3,22,8,12
ED-CCBOE-Support Complex  ICP 1 - 0,51,132,4,53,14,70,1,11,12,40,6,19
ED-Kiokee Bapt Church  ICP 1 - 0,107,339,5,106,16,38,0,1,8,7,5,5
