Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
Absentee By Mail ICC - 1,11,8,1,4,0,12,1,0,3,2,1,2
AV-Elections Office ICP 1 - 0,167,278,4,127,5,200,9,11,14,16,16,27
ED-Delle Beamguard ICP 1 - 0,61,78,3,59,8,48,2,2,5,3,6,5
ED-Cecil ICP 1 - 0,24,40,4,19,1,62,0,0,2,0,7,5
ED-Riverbend ICP 1 - 0,41,46,2,30,2,18,1,0,0,7,1,1
ED-Massee ICP 1 - 0,21,35,0,11,7,15,0,0,1,0,2,1
ED-Elm Pine ICP 1 - 0,0,0,0,0,0,43,3,1,2,7,5,7
ED-Sparks ICP 1 - 0,15,17,1,9,0,47,0,1,3,2,4,8
ED-Lenox ICP 1 - 0,43,61,2,35,7,37,1,4,6,3,3,6
ED-New Life Baptist Church ICP 1 - 0,48,66,1,40,4,9,0,2,2,4,4,0
