Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,2,9,0,5,1,8,1,0,6,2,2,5
ICC-Absentee by Mail - 4,7,14,0,10,2,4,0,0,3,1,0,5
ICC-Absentee by Mail - 3,7,9,1,3,2,8,0,0,8,0,1,6
ICC-Absentee by Mail - 5,6,5,0,1,0,0,0,0,2,1,0,3
ICC-Absentee by Mail - 2,12,8,0,9,1,9,0,0,7,1,1,2
ICC-Absentee by Mail - 6,3,2,0,4,0,4,0,0,0,0,0,0
ICC-Absentee by Mail - 7,0,4,0,2,0,2,0,0,1,4,0,2
AV-Location 1 ICP 1 - 0,325,418,8,392,32,283,2,10,61,60,9,66
AV-Location 2 ICP 1 - 0,170,207,6,186,25,75,1,2,22,26,1,13
AV-Elections Office ICP 1 - 0,695,961,32,955,73,837,9,25,162,147,28,307
ICC-Absentee by Mail - 8,0,0,0,1,0,1,0,0,0,0,0,0
ED-Chulio ICP 1 - 0,77,67,1,85,3,15,0,0,5,9,0,6
ED-Floyd Springs ICP 1 - 0,104,107,1,120,6,11,1,1,7,3,1,2
ED-Riverside (N Rome) ICP 1 - 0,75,69,2,71,4,96,3,8,14,28,6,10
ED-Lindale ICP 1 - 0,169,173,13,177,13,83,0,3,18,21,6,9
ED-Glenwood ICP 1 - 0,116,157,2,152,16,67,1,2,9,35,4,6
ED-Everett Springs ICP 1 - 0,18,26,1,37,0,9,0,1,8,2,1,4
ED-South Floyd ICP 1 - 0,142,147,3,111,18,23,0,5,9,8,3,3
ED-South Rome ICP 1 - 0,15,23,0,38,1,81,0,1,9,17,2,23
ED-East Rome ICP 1 - 0,134,175,8,195,16,151,1,6,39,57,7,18
ED-Cave Spring ICP 1 - 0,100,108,2,83,8,34,1,1,11,7,5,8
ED-Etowah ICP 1 - 0,188,271,5,307,19,112,4,4,24,44,9,16
ED-Howell ICP 1 - 0,83,116,2,111,12,14,0,2,5,4,1,1
ED-Foster's Mill ICP 1 - 0,69,90,2,53,7,5,0,0,6,4,1,4
ED-Town Rome ICP 1 - 0,44,56,1,62,13,123,4,2,13,43,9,27
ED-Garden Lakes ICP 1 - 0,115,145,5,112,14,147,1,7,15,37,6,31
ED-New Armuchee ICP 2 - 0,27,59,1,43,5,7,0,1,3,3,0,2
ED-New Armuchee ICP 1 - 0,68,103,0,101,10,10,0,0,7,11,1,4
ED-Coosa (NC) ICP 1 - 0,63,124,2,69,5,25,2,1,7,3,2,0
ED-Shannon ICP 1 - 0,151,218,5,179,17,46,3,7,15,21,4,11
ED-Alto Park ICP 1 - 0,159,262,11,238,25,181,2,11,27,60,17,24
ICC-Provisional - 1,1,1,0,0,0,0,0,0,0,0,0,0
