Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,114,234,3,101,10,172,3,3,15,27,22,24
AV-Elections Office ICP 2 - 0,110,208,1,104,10,157,5,10,24,28,21,21
Absentee By Mail ICC - 1,7,18,2,7,0,8,0,0,3,1,0,4
Absentee By Mail ICC - 2,0,6,0,3,0,5,1,1,1,0,2,7
Absentee By Mail ICC - 3,0,0,0,0,0,2,0,0,0,0,0,0
ED-Pine Park Baptist Church ICP 1 - 0,26,49,4,15,4,20,0,1,0,3,4,3
ED-Midway VFD ICP 1 - 0,48,107,1,38,9,31,0,3,7,5,1,7
ED-Pine Level VFD ICP 1 - 0,36,100,2,46,3,10,0,1,0,0,0,7
ED-Cairo Municipal Airport ICP 1 - 0,65,107,1,91,10,14,0,3,4,4,0,0
ED-B&G Club ICP 1 - 0,4,16,1,9,1,147,5,6,5,7,17,25
ED-Calvary VFD ICP 1 - 0,39,109,2,29,6,46,1,3,3,6,4,5
ED-Agricenter ICP 1 - 0,42,83,0,52,4,98,2,4,4,4,11,5
ED-Spence VFD ICP 1 - 0,31,74,0,36,3,3,0,1,3,6,2,0
ED-Boy Scout Bldg ICP 1 - 0,68,125,1,65,5,14,2,6,2,3,4,3
Provisional ICC - 1,0,1,0,0,0,0,0,0,0,0,0,0
