Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee By Mail 1 - 9,3,3,0,6,0,10,0,0,0,0,0,0
ICC-Absentee By Mail 5 - 12,4,1,0,4,0,6,0,0,1,6,0,1
ICC-Absentee By Mail 4 - 12,0,5,0,1,1,12,0,0,2,3,0,0
ICC-Absentee By Mail 7 - 9,5,4,0,3,0,3,1,0,3,4,0,2
ICC-Absentee By Mail 1 - 10,3,3,1,10,0,10,0,0,3,2,0,0
ICC-Absentee By Mail 5 - 1,2,2,0,3,0,9,0,1,5,2,0,0
ICC-Absentee By Mail 5 - 2,2,4,0,7,1,5,0,0,1,1,0,0
ICC-Absentee By Mail 5 - 3,4,7,2,4,2,3,0,0,0,2,1,0
ICC-Absentee By Mail 5 - 4,2,0,0,12,2,5,0,1,2,0,0,0
ICC-Absentee By Mail 5 - 5,2,2,0,4,0,7,0,0,3,1,0,0
ICC-Absentee By Mail 5 - 6,4,4,0,8,0,4,0,0,2,1,0,0
ICC-Absentee By Mail 5 - 7,3,5,0,3,0,8,0,1,3,2,0,0
ICC-Absentee By Mail 5 - 8,5,2,1,0,2,11,0,0,2,1,0,0
ICC-Absentee By Mail 5 - 9,3,4,0,9,0,2,0,0,4,1,0,3
ICC-Absentee By Mail 5 - 10,0,1,0,2,0,11,0,3,3,0,0,4
ICC-Absentee By Mail 5 - 11,1,1,0,8,0,8,0,0,1,2,0,2
ICC-Absentee By Mail 6 - 1,4,1,0,2,1,11,0,0,1,3,0,1
ICC-Absentee By Mail 6 - 2,5,4,0,3,0,7,0,0,2,2,0,1
ICC-Absentee By Mail 6 - 3,7,1,0,7,0,1,0,0,3,0,0,2
ICC-Absentee By Mail 6 - 4,5,4,0,1,0,11,0,0,2,0,0,1
ICC-Absentee By Mail 6 - 5,1,4,0,4,0,10,1,0,1,3,0,1
ICC-Absentee By Mail 6 - 6,5,1,0,0,0,10,0,0,7,1,0,1
ICC-Absentee By Mail 6 - 7,2,3,0,2,0,10,0,0,2,0,2,2
ICC-Absentee By Mail 6 - 8,1,6,0,3,0,8,0,1,5,2,0,0
ICC-Absentee By Mail 6 - 9,2,3,0,6,1,2,0,2,2,2,1,1
ICC-Absentee By Mail 4 - 1,1,6,0,1,0,4,0,2,6,1,0,1
ICC-Absentee By Mail 4 - 2,1,5,0,6,0,11,0,0,0,0,0,1
ICC-Absentee By Mail 4 - 3,9,7,0,1,0,1,0,0,2,1,1,0
ICC-Absentee By Mail 4 - 4,1,2,0,2,1,3,0,0,0,1,0,0
ICC-Absentee By Mail 4 - 5,1,4,0,5,1,9,0,0,2,1,1,1
ICC-Absentee By Mail 4 - 6,4,2,0,4,0,9,0,1,3,0,0,0
ICC-Absentee By Mail 4 - 7,3,3,0,5,0,8,2,0,0,1,0,1
