Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
Absentee By Mail ICC - 1,9,10,0,4,2,19,1,1,2,2,1,3
Absentee By Mail ICC - 2,6,5,0,1,0,6,0,0,4,0,0,1
AV-Elections Office ICP 1 - 0,300,319,4,143,24,245,4,12,19,24,15,48
AV-The Bindery at Oakland ICP 1 - 0,31,27,0,25,5,28,1,3,4,1,0,3
AV-Elections Office ICP 2 - 0,296,282,10,110,29,323,8,14,20,31,29,50
AV-Redbone ICP 1 - 0,33,26,1,18,4,19,0,1,1,3,2,3
ED-Friendship Baptist ICP 1 - 0,74,115,0,71,9,49,1,2,1,1,1,7
ED-Century Fire Station ICP 1 - 0,102,157,2,58,11,123,1,4,7,24,11,18
ED-Smithville ICP 1 - 0,37,23,0,9,5,55,2,2,1,8,4,12
ED-Leesburg ICP 1 - 0,96,132,2,48,17,92,1,14,6,13,8,16
ED-CJC ICP 1 - 0,35,46,0,14,4,9,1,0,1,2,0,2
ED-Redbone ICP 2 - 0,143,182,0,79,11,87,1,2,8,9,2,10
ED-Redbone ICP 1 - 0,84,108,3,55,9,63,2,1,1,14,9,14
ED-SDA Church ICP 1 - 0,90,125,2,81,3,99,0,5,10,10,3,10
ED-Flint Reformed Baptist ICP 1 - 0,109,103,3,47,5,106,1,3,5,11,5,10
ED-Chokee ICP 1 - 0,23,15,0,4,3,25,0,1,4,1,3,9
ED-The Bindery at Oakland ICP 1 - 0,99,127,2,53,3,99,4,1,7,13,5,9
ED-The Bindery at Oakland ICP 2 - 0,88,121,2,69,6,96,2,2,9,8,3,22
Provisional ICC - 1,0,0,0,0,0,0,0,0,0,1,0,0
