Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-LCC ICP 1 - 0,380,132,3,56,11,720,18,24,56,44,45,97
AV-Elections Office ICP 1 - 0,417,134,4,35,20,2160,38,70,107,132,130,178
ICC-Absentee by Mail - 1,0,0,0,0,0,12,0,0,0,0,1,3
ICC-Absentee by Mail - 2,0,0,0,0,1,11,0,0,0,0,0,0
ICC-Absentee by Mail - 3,0,0,0,0,0,7,0,0,1,0,0,0
ICC-Absentee by Mail - 4,1,0,0,0,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 5,1,0,0,0,0,10,0,0,2,1,0,4
ICC-Absentee by Mail - 6,5,0,0,0,0,15,0,0,1,1,0,0
ICC-Absentee by Mail - 7,0,0,0,0,0,11,0,0,0,1,1,1
ICC-Absentee by Mail - 8,4,3,0,0,0,23,0,0,0,0,0,0
ICC-Absentee by Mail - 9,0,0,0,0,0,7,0,0,0,0,1,1
ICC-Absentee by Mail - 10,0,0,0,0,0,12,1,1,0,1,1,0
ICC-Absentee by Mail - 11,4,1,0,1,0,20,0,1,0,2,0,2
ICC-Absentee by Mail - 12,2,1,0,0,1,7,0,0,0,0,0,0
ICC-Absentee by Mail - 13,0,0,0,0,0,17,1,1,2,0,1,1
ICC-Absentee by Mail - 14,0,0,0,1,0,1,0,0,0,0,0,0
ICC-Absentee by Mail - 15,0,0,0,0,0,1,0,0,0,0,0,0
ED-Memorial Drive East ICP 1 - 0,22,9,1,4,0,69,2,4,6,11,3,3
ED-Performing Arts Center ICP 1 - 0,33,7,1,4,0,112,5,5,5,18,11,7
ED-Hinesville ICP 1 - 0,69,33,3,6,4,137,2,9,4,15,11,16
ED-Progressive Church ICP 1 - 0,17,15,2,2,1,98,4,4,2,9,4,4
ED- Liberty College & Career Academy ICP 1 - 0,41,16,0,5,1,172,3,7,7,17,10,20
ED-Gum Branch ICP 1 - 0,98,26,1,11,5,101,6,6,12,17,11,17
ED-Riceboro Youth Center ICP 1 - 0,17,2,0,3,0,116,5,1,4,7,6,15
ED-Fleming East ICP 1 - 0,149,46,2,14,3,68,1,3,10,14,10,12
ED-Liberty Co Complex ICP 1 - 0,220,97,6,29,15,172,5,10,20,14,15,29
ED-Town of Allenhurst ICP 1 - 0,23,9,0,6,2,102,3,2,3,14,5,5
ED-Lewis Frasier School ICP 1 - 0,34,24,0,6,5,95,4,3,8,9,9,10
ED-Lyman Hall Schoo7 ICP 1 - 0,31,18,3,7,4,156,5,7,8,27,11,20
ICC-Provisional - 1,1,0,0,0,0,2,0,1,0,0,0,1
