Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,97,139,1,58,8,407,5,13,23,21,8,102
ICC-Absentee by Mail - 1,2,1,0,2,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 2,0,0,0,0,0,3,0,0,0,0,0,3
ICC-Absentee by Mail - 3,0,1,0,0,0,9,0,1,1,0,1,4
ICC-Absentee by Mail - 4,0,2,0,0,0,24,0,1,0,0,2,5
ICC-Absentee by Mail - 5,1,0,0,0,0,7,0,0,0,2,0,2
ED-Oglethorpe ICP 1 - 0,17,22,2,9,1,79,1,2,4,7,5,11
ED-Montezuma 4 ICP 1 - 0,10,21,0,14,1,88,1,3,8,7,7,24
ED-Montezuma 5 ICP 1 - 0,2,11,0,10,1,102,2,1,7,3,5,23
ED-Marshallville ICP 1 - 0,24,35,1,26,4,133,2,2,8,6,3,15
ED-Ideal ICP 1 - 0,43,57,1,21,3,53,2,0,4,4,2,20
