Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,17,19,0,21,1,0,0,0,0,0,0,0
ICC-Absentee by Mail - 2,17,20,0,10,0,0,0,0,1,0,0,0
ICC-Absentee by Mail - 3,0,0,0,0,0,18,0,0,7,2,0,26
ICC-Absentee by Mail - 4,0,0,0,0,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 5,2,4,0,4,0,3,0,0,1,5,0,1
ICC-Absentee by Mail - 6,0,1,0,0,0,0,0,0,0,0,0,1
AV-Elections Office ICP 1 - 0,170,551,10,446,25,116,1,5,21,40,5,80
AV-Elections Office ICP 2 - 0,152,327,7,302,15,87,1,3,21,34,6,81
ED-Danielsville ICP 1 - 0,16,45,0,38,4,9,0,0,2,2,1,8
ED-Danielsville ICP 2 - 0,27,87,2,88,5,21,0,2,7,10,0,15
ED-Poca ICP 1 - 0,24,73,2,82,2,7,0,0,6,3,1,11
ED-Harrison ICP 1 - 0,19,73,0,48,4,3,0,1,0,0,0,1
ED-Collins ICP 1 - 0,17,53,0,41,4,3,0,3,3,3,0,4
ED-Ila ICP 1 - 0,39,114,1,102,9,12,1,0,2,9,1,5
ED-Paoli ICP 1 - 0,10,34,0,16,2,2,0,0,0,4,0,0
ED-Comer ICP 1 - 0,24,83,1,74,11,44,0,4,8,28,0,24
ED-Mill ICP 1 - 0,64,119,1,101,4,10,1,4,0,11,0,5
ED-Fork ICP 1 - 0,18,37,0,26,0,18,0,0,2,3,0,8
ED-Colbert ICP 1 - 0,27,44,2,61,0,27,0,0,4,11,0,13
ED-Colbert ICP 2 - 0,46,105,1,109,5,42,2,3,7,12,3,25
ED-Hull ICP 2 - 0,33,102,2,130,7,68,2,2,6,22,2,45
ED-Hull ICP 1 - 0,22,82,1,84,6,52,1,3,10,13,0,32
ED-Pittman ICP 1 - 0,49,134,4,146,4,25,4,4,5,9,1,15
ICC-Provisional - 1,1,0,0,0,0,3,0,0,0,0,0,0
