Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 2 - 0,86,43,1,32,2,65,3,2,14,13,10,23
AV-Elections Office ICP 1 - 0,266,161,3,51,3,226,9,15,18,52,12,77
ICC-Absentee by Mail - 3,5,1,0,0,2,7,0,0,1,0,0,4
ICC-Absentee by Mail - 4,5,1,0,1,0,8,0,0,0,0,0,3
ICC-Absentee by Mail - 5,0,0,0,0,0,0,0,0,0,0,0,1
ED-Sylvania North ICP 1 - 0,26,16,2,15,2,63,1,2,4,14,7,6
ED-Sylvania North ICP 2 - 0,21,8,0,6,1,24,0,0,2,2,1,6
ED-Cooperville 2 ICP 1 - 0,47,35,1,9,1,57,3,4,0,7,4,16
ED-Rocky Ford ICP 1 - 0,66,46,0,12,1,20,0,2,6,2,1,3
ED-Hiltonia ICP 1 - 0,56,31,0,20,0,45,2,4,5,9,5,7
ED-White Hill ICP 1 - 0,57,59,0,11,3,39,0,1,4,2,1,5
ED-Newington ICP 1 - 0,137,61,2,16,6,56,3,4,3,7,4,9
