Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,252,411,16,264,19,805,19,24,86,58,69,181
ICC-Absentee by Mail - 1,1,5,0,0,0,26,0,1,0,8,1,7
ICC-Absentee by Mail - 2,1,0,0,1,0,27,0,0,0,6,1,3
ICC-Absentee by Mail - 3,0,0,0,0,0,32,0,3,0,7,2,6
ICC-Absentee by Mail - 4,1,4,0,6,1,24,0,0,1,4,0,6
ED-AG Center ICP 1 - 0,44,64,3,19,4,72,1,1,5,4,3,17
ED-Thompson ICP 1 - 0,11,38,0,10,0,34,0,0,2,3,1,7
ICC-Absentee by Mail - 5,0,0,0,0,0,1,0,0,0,0,0,0
ED-Andersonville ICP 1 - 0,20,34,3,18,2,13,0,1,1,5,1,1
ED-Rec Dept ICP 1 - 0,11,14,1,19,2,141,4,5,12,10,10,26
ED-Browns Mill ICP 1 - 0,22,51,3,37,1,49,1,4,4,5,3,12
ED-Plains ICP 1 - 0,27,52,1,33,2,77,2,3,6,7,7,12
ED-JROTC ICP 1 - 0,51,88,1,59,3,111,0,3,10,23,3,20
ED-Leslie ICP 1 - 0,71,105,0,57,6,80,2,3,3,3,8,10
ED-Rees Park ICP 1 - 0,12,25,1,17,4,153,3,2,6,15,13,35
ED-Concord ICP 1 - 0,32,46,0,14,1,3,1,0,1,1,0,2
ED-Airport ICP 1 - 0,33,73,1,76,2,76,0,4,1,8,7,19
ICC-Absentee by Mail - 6,2,5,0,0,0,0,0,0,0,0,0,0
