Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,468,723,10,350,39,504,14,18,65,80,51,120
Absentee By Mail ICC - 1,8,11,0,3,2,7,0,0,0,0,0,2
Absentee By Mail ICC - 2,2,2,0,0,1,13,0,1,5,2,3,5
ED-Tifton NE ICP 1 - 0,55,81,1,52,5,52,3,4,7,15,2,9
ED-Brookfield ICP 1 - 0,88,112,3,29,5,14,0,2,6,3,2,1
ED-Chula ICP 1 - 0,80,115,0,46,6,16,0,2,4,3,3,0
ED-TyTy ICP 1 - 0,45,77,2,31,1,25,1,2,0,11,0,7
ED-Eldorado ICP 1 - 0,61,75,1,37,6,11,0,2,1,3,1,1
ED-Tifton Lodge ICP 1 - 0,67,91,3,34,5,87,5,4,6,19,4,18
ED-Tifton South ICP 1 - 0,28,24,1,9,0,92,2,3,8,8,11,23
ED-Mott-Litman Gym ICP 1 - 0,3,11,2,4,0,109,1,3,3,4,14,93
ED-Omega ICP 1 - 0,34,67,3,10,0,14,2,1,1,3,1,4
ED-Tifton NW ICP 1 - 0,61,128,3,42,8,75,1,8,3,18,7,17
ED-Brighton ICP 1 - 0,91,166,1,86,5,29,1,3,7,6,1,2
ED-Docia ICP 1 - 0,40,97,0,47,10,13,0,1,0,6,0,0
Provisional ICC - 1,1,4,0,0,0,0,0,0,0,0,0,0
