Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,6,6,0,2,2,4,0,0,1,1,0,0
ICC-Absentee by Mail - 2,4,6,1,5,0,4,0,0,2,0,0,1
ICC-Absentee by Mail - 3,7,10,0,5,0,2,0,0,0,0,0,1
ICC-Absentee by Mail - 4,1,3,0,6,1,3,0,1,5,1,0,2
ICC-Absentee by Mail - 5,6,4,0,10,0,3,0,0,0,3,0,1
ICC-Absentee by Mail - 6,2,0,0,0,0,0,0,0,0,0,0,0
AV-Mauney Srvc Building ICP 1 - 0,508,593,15,466,54,120,3,11,67,41,1,45
AV-Mauney Srvc Building ICP 2 - 0,300,485,13,322,29,88,3,7,33,36,0,28
ED-Tesnatee ICP 1 - 0,38,66,2,49,8,7,0,1,0,1,1,4
ED-White Creek ICP 1 - 0,79,90,3,129,15,12,1,1,0,7,1,0
ED-Robertstown-Helen ICP 1 - 0,33,44,1,45,3,10,0,0,3,2,0,2
ED-Blue Ridge ICP 1 - 0,41,66,0,48,6,7,0,0,4,4,1,2
ED-Shoal Creek ICP 1 - 0,94,144,4,122,11,13,0,2,4,7,2,1
ED-Town Creek ICP 1 - 0,55,87,1,65,7,10,0,3,7,4,0,7
ED-Mossy Creek ICP 1 - 0,152,207,5,172,14,18,0,3,9,5,2,5
ED-Mt Yonah ICP 1 - 0,79,194,2,173,23,22,0,0,10,11,3,4
ED-Blue Creek ICP 1 - 0,58,127,0,83,12,17,1,3,7,10,3,4
ED-Nacoochee ICP 1 - 0,62,90,2,48,7,31,3,2,15,13,1,13
ICC-Provisional - 1,0,0,0,0,0,0,0,0,0,0,0,0
