Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC - Absentee By Mail - 1,1,1,0,0,0,2,0,1,0,0,0,1
ICC - Absentee By Mail - 2,2,11,0,2,1,2,0,0,1,0,0,4
ICC - Absentee By Mail - 5,3,8,0,3,1,8,0,0,2,0,0,0
ICC - Absentee By Mail - 10,4,6,1,5,0,4,0,0,2,0,0,2
ICC - Absentee By Mail - 4,3,10,0,1,1,4,0,0,0,2,1,2
ICC - Absentee By Mail - 8,2,6,0,4,0,3,0,0,7,1,0,2
ICC - Absentee By Mail - 7,3,4,0,4,0,4,0,0,4,2,2,1
ICC - Absentee By Mail - 6,1,2,0,0,0,13,0,0,4,2,0,2
ICC - Absentee By Mail - 9,2,13,0,1,0,4,0,0,2,0,0,3
ICC - Absentee By Mail - 3,2,8,1,4,0,2,0,0,2,2,0,0
AV-Courthouse ICP 1 - 0,172,555,14,366,49,233,5,14,47,61,18,57
AV-Courthouse ICP 2 - 0,187,535,17,374,43,227,7,26,58,85,23,53
ICC - Absentee By Mail - 11,0,0,0,0,0,1,0,0,0,0,0,0
ICC - Absentee By Mail - 12,0,0,0,1,0,1,0,0,0,1,0,0
ED-5A ICP 1 - 0,8,18,0,4,0,45,3,4,5,27,5,6
ED-1A ICP 1 - 0,11,36,3,31,10,51,3,4,4,27,7,9
ED-ES ICP 1 - 0,23,80,0,21,3,26,2,2,2,15,1,5
ED-6A ICP 1 - 0,8,22,1,7,1,40,1,4,5,18,3,3
ED-3A ICP 1 - 0,48,123,3,109,10,44,1,3,16,22,1,6
ED-CA ICP 1 - 0,56,108,2,86,14,16,2,3,1,10,1,2
ED-FI ICP 1 - 0,40,167,4,77,6,27,2,5,3,11,3,4
ED-CO ICP 1 - 0,42,127,1,60,9,10,0,3,6,3,2,7
ED-GL ICP 1 - 0,31,129,4,104,7,49,1,6,10,26,5,9
ED-AN ICP 1 - 0,15,78,1,30,5,41,2,3,4,18,6,7
ED-TR ICP 1 - 0,52,176,2,71,9,16,0,2,12,0,2,2
ED-TH ICP 1 - 0,70,257,3,121,16,37,2,6,4,19,3,19
ED-UT ICP 1 - 0,32,111,4,54,2,10,0,2,5,5,1,0
ED-LT ICP 1 - 0,26,130,1,77,12,11,0,0,1,1,0,0
ED-WS ICP 1 - 0,77,163,5,97,11,29,4,4,7,10,1,2
ED-MC ICP 1 - 0,49,159,3,100,5,18,0,2,4,4,0,4
ED-TI ICP 1 - 0,19,74,1,29,8,12,0,1,0,3,2,2
ED-2A ICP 1 - 0,60,150,3,125,7,28,2,4,10,22,3,9
ED-DG ICP 1 - 0,55,225,5,181,16,74,2,3,18,40,9,5
ED-4A ICP 1 - 0,30,113,7,149,11,44,1,6,18,26,3,11
ED-NI ICP 1 - 0,46,248,2,87,22,24,5,4,10,12,6,8
ED-PG ICP 1 - 0,91,284,10,124,12,62,6,13,11,27,6,8
ED-VA ICP 1 - 0,65,199,5,128,16,43,2,4,9,16,3,8
ED-VA ICP 2 - 0,62,217,2,110,21,39,2,5,13,19,2,8
