Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2022
Advance Voting,AV-Elections Office ICP 2 - 0,4214
Advance Voting,AV-Powell Park ICP 1 - 0,684
Advance Voting,AV-Powell Park ICP 2 - 0,686
Election Day,ED-Tabernacle ICP 1 - 0,275
Election Day,ED-Bowdon Junction ICP 1 - 0,254
Election Day,ED-Oak Grove ICP 1 - 0,406
Election Day,ED-Carroll EMC ICP 1 - 0,238
Election Day,ED-Lakeshore ICP 1 - 0,218
Election Day,ED-Sandhill ICP 1 - 0,583
Election Day,ED-Hulett ICP 1 - 0,269
Election Day,ED-Hulett ICP 2 - 0,250
Election Day,ED-Kansas ICP 1 - 0,251
Election Day,ED-W Carrollton ICP 1 - 0,204
Election Day,ED-W Carrollton ICP 2 - 0,189
Election Day,ED-First Baptist ICP 1 - 0,230
Election Day,ED-First Baptist ICP 2 - 0,229
Election Day,ED-VR South ICP 1 - 0,360
Election Day,ED-Tyus ICP 2 - 0,427
Election Day,ED-Bethany ICP 1 - 0,326
Election Day,ED-Bethany ICP 2 - 0,154
Election Day,ED-Clem ICP 1 - 0,345
Election Day,ED-Clem ICP 2 - 0,316
Election Day,ED-Neva Lomason ICP 1 - 0,433
Election Day,ED-Burwell ICP 1 - 0,292
Election Day,ED-Whitesburg ICP 1 - 0,410
Election Day,ED-Old Camp ICP 1 - 0,252
Election Day,ED-Old Camp ICP 2 - 0,252
Election Day,ED-Bowdon ICP 1 - 0,329
Election Day,ED-Bowdon ICP 2 - 0,219
Election Day,ED-Fairfield ICP 1 - 0,616
Election Day,ED-Fairfield ICP 2 - 0,205
Election Day,ED-Temple County ICP 2 - 0,520
Election Day,ED-Temple City ICP 1 - 0,560
Election Day,ED-Mt Zion ICP 1 - 0,433
Election Day,ED-Roopville ICP 1 - 0,456
Election Day,ED-Roopville ICP 2 - 0,177
Election Day,ED-Center Point ICP 1 - 0,475
Election Day,ED-VR City ICP 1 - 0,398
Election Day,ED-VR City ICP 2 - 0,396
Election Day,ED-UWG ICP 1 - 0,265
Election Day,ED-VR North ICP 1 - 0,305
Election Day,ED-VR North ICP 2 - 0,301
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,5
Absentee by Mail,ICC-Absentee by Mail - 7,6
Absentee by Mail,ICC-Absentee by Mail - 8,3
Provisional,ICC-Provisional - 1,1
