Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee By Mail 1 - 1,40
Absentee by Mail,ICC-Absentee By Mail 1 - 2,45
Absentee by Mail,ICC-Absentee By Mail 1 - 3,39
Absentee by Mail,ICC-Absentee By Mail 1 - 4,39
Absentee by Mail,ICC-Absentee By Mail 1 - 5,40
Absentee by Mail,ICC-Absentee By Mail 1 - 6,39
Absentee by Mail,ICC-Absentee By Mail 1 - 7,20
Absentee by Mail,ICC-Absentee By Mail 1 - 8,40
Absentee by Mail,ICC-Absentee By Mail 1 - 9,40
Absentee by Mail,ICC-Absentee By Mail 1 - 10,39
Absentee by Mail,ICC-Absentee By Mail 1 - 11,40
Absentee by Mail,ICC-Absentee By Mail 1 - 12,40
Absentee by Mail,ICC-Absentee By Mail 1 - 13,39
Absentee by Mail,ICC-Absentee By Mail 1 - 14,40
Absentee by Mail,ICC-Absentee By Mail 1 - 15,1
Absentee by Mail,ICC-Absentee By Mail 1 - 16,1
Absentee by Mail,ICC-Absentee By Mail 1 - 17,6
Absentee by Mail,ICC-Absentee By Mail 1 - 18,14
Absentee by Mail,ICC-Absentee By Mail 1 - 19,40
Absentee by Mail,ICC-Absentee By Mail 1 - 20,40
Absentee by Mail,ICC-Absentee By Mail 1 - 21,3
Absentee by Mail,ICC-Absentee By Mail 1 - 22,39
Absentee by Mail,ICC-Absentee By Mail 1 - 23,40
Absentee by Mail,ICC-Absentee By Mail 1 - 24,40
Absentee by Mail,ICC-Absentee By Mail 1 - 25,54
Absentee by Mail,ICC-Absentee By Mail 1 - 26,40
Absentee by Mail,ICC-Absentee By Mail 1 - 27,39
Absentee by Mail,ICC-Absentee By Mail 1 - 28,40
Absentee by Mail,ICC-Absentee By Mail 1 - 29,40
Absentee by Mail,ICC-Absentee By Mail 1 - 30,49
Advance Voting,AV-Islands Library ICP 1 - 0,2380
Advance Voting,AV-Voter Registration Annex Building ICP 1 - 0,4406
Advance Voting,AV-Voter Registration Annex Building ICP 2 - 0,3760
Advance Voting,AV-Voter Registration Annex Building ICP 3 - 0,2271
Advance Voting,AV- Southwest Library ICP 2 - 0,1319
Advance Voting,AV-Mosquito Control ICP 1 - 0,2462
Advance Voting,AV-Civic Center ICP 1 - 0,847
Advance Voting,AV-Civic Center ICP 2 - 0,875
Advance Voting,AV-Islands Library ICP 2 - 0,1028
Advance Voting,AV- Garden City Library ICP 1 - 0,1188
Advance Voting,AV- Southwest Library ICP 1 - 0,1404
Absentee by Mail,ICC-Absentee By Mail 1 - 31,36
Absentee by Mail,ICC-Absentee By Mail 1 - 32,30
Absentee by Mail,ICC-Absentee By Mail 1 - 33,1
Absentee by Mail,ICC-Absentee By Mail 1 - 34,40
Absentee by Mail,ICC-Absentee By Mail 1 - 35,40
Absentee by Mail,ICC-Absentee By Mail 1 - 36,30
Absentee by Mail,ICC-Absentee By Mail 1 - 37,1
Absentee by Mail,ICC-Absentee By Mail 1 - 38,40
Absentee by Mail,ICC-Absentee By Mail 1 - 39,29
Election Day,ED-Freedom Fellowship ICP 1 - 0,328
Election Day,ED-Moses Jackson Center  ICP 1 - 0,199
Election Day,ED-Silk Hope Baptist Church  ICP 1 - 0,210
Election Day,ED-Tompkins Rec Center  ICP 1 - 0,150
Election Day,ED-Eli Whitney Complex  ICP 1 - 0,252
Election Day,ED-Seed Church  ICP 1 - 0,261
Election Day,ED-Bible Baptist Church  ICP 1 - 0,375
Election Day,ED-The Connexion Church  ICP 1 - 0,600
Election Day,ED-Lighthouse Baptist Church  ICP 1 - 0,500
Election Day,ED-River Pointe  ICP 1 - 0,190
Election Day,ED-Temple Mickve Israel  ICP 1 - 0,263
Election Day,ED-Oglethorpe Charter Academy  ICP 1 - 0,309
Election Day,ED-Immanuel Baptist Church  ICP 1 - 0,233
Election Day,ED-R.M.G. Civil Rights Museum  ICP 1 - 0,159
Election Day,ED-Central Church of Christ  ICP 1 - 0,414
Election Day,ED-New Covenant Seventh-day Adventist Church ICP 1 - 0,294
Election Day,ED-First Baptist Church of Pooler  ICP 1 - 0,402
Election Day,ED-Woodlawn Baptist Church  ICP 1 - 0,175
Election Day,ED-Burke Day Public Safety Bldg  ICP 1 - 0,422
Election Day,ED-Savannah Tech Crossroads Campus ICP 1 - 0,297
Election Day,ED-Rothwell Baptist Church  ICP 1 - 0,599
Election Day,ED-St Thomas Episcopal Church  ICP 1 - 0,336
Election Day,ED-Wilmington Island Pres Church  ICP 1 - 0,614
Election Day,ED-First Baptist Church of Garden City  ICP 1 - 0,249
Election Day,ED-Coastal Cathedral Mission Camp ICP 1 - 0,224
Election Day,ED-First Presbyterian Church  ICP 1 - 0,960
Election Day,ED-Skidaway Community Church  ICP 1 - 0,702
Election Day,ED-Southside Fire Trng Ctr  ICP 1 - 0,412
Election Day,ED-Islands High School Annex  ICP 1 - 0,382
Election Day,ED-Jonesville Baptist Church  ICP 1 - 0,414
Election Day,ED-Crusader Comm Center  ICP 1 - 0,473
Election Day,ED-Progressive Rec Center  ICP 1 - 0,481
Election Day,ED-JEA Building  ICP 1 - 0,472
Election Day,ED-PB Edwards Gym  ICP 1 - 0,235
Advance Voting,ED-Life Bridge Inner City Ministries ICP 1 - 0,180
Election Day,ED-St. Paul's Episcopal Church ICP 1 - 0,279
Election Day,ED-Coastal GA Botanical Gardens  ICP 1 - 0,636
Election Day,ED-Salvation Army  ICP 1 - 0,573
Election Day,ED-Rice Creek School  ICP 1 - 0,466
Election Day,ED-New Generations Full Gospel Baptist Church ICP 1 - 0,352
Election Day,ED-Butler Elementary  ICP 1 - 0,282
Election Day,ED-Carver Village Comm Center ICP 1 - 0,257
Election Day,ED-Christ Memorial Baptist Church  ICP 1 - 0,232
Election Day,"ED-Compassion Christian, Henderson  ICP 1 - 0",361
Election Day,ED-West Broad YMCA  ICP 1 - 0,101
Election Day,ED-Butler Presbyterian Church  ICP 1 - 0,209
Election Day,ED-Williams Court Apts  ICP 1 - 0,305
Election Day,ED-First African Baptist Church  ICP 1 - 0,368
Election Day,ED-William C. Strozier Comm Center ICP 1 - 0,327
Election Day,ED-White Bluff Presbyterian  ICP 1 - 0,260
Election Day,ED-Resur of Our Lord Church  ICP 1 - 0,343
Election Day,ED-Christ Community Church at Morningside  ICP 1 - 0,480
Election Day,ED-Grace Church of Savannah ICP 1 - 0,335
Election Day,ED-Islands Christian Church  ICP 1 - 0,506
Election Day,ED-Ferguson Ave Baptist  ICP 1 - 0,721
Election Day,ED-Windsor Forest Baptist  ICP 1 - 0,541
Election Day,ED-Elks Lodge ICP 1 - 0,153
Election Day,ED-First Baptist of the Island  ICP 1 - 0,417
Election Day,ED-W W Law Center  ICP 1 - 0,597
Election Day,ED-St. Luke United Methodist  ICP 1 - 0,604
Election Day,ED-W. Chatham YMCA ICP 1 - 0,442
Election Day,ED-Skidaway Island Methodist  ICP 1 - 0,1019
Election Day,ED-St Peters Episcopal  ICP 1 - 0,693
Election Day,ED-Tybee Old School Cafe  ICP 1 - 0,494
Election Day,ED-Trinity Lutheran Church  ICP 1 - 0,487
Election Day,ED-Largo-Tibet Elementary  ICP 1 - 0,529
Election Day,ED-Sycamore Church  ICP 1 - 0,660
Election Day,ED-Liberty City Comm Ctr  ICP 1 - 0,468
Election Day,ED-New Hamstead High School ICP 1 - 0,256
Election Day,ED-Lake Shore Clubhouse ICP 1 - 0,466
Election Day,ED-Thunderbolt Senior Citizen Center ICP 1 - 0,335
Election Day,ED-Isle of Hope Baptist  ICP 1 - 0,558
Election Day,ED-Savannah First Seventh-day Adventist Church ICP 1 - 0,449
Election Day,ED-Beach High School  ICP 1 - 0,175
Election Day,ED-Pooler Recreation Center Gymnasium  ICP 1 - 0,832
Election Day,ED-Wilmington Island UMC  ICP 1 - 0,542
Election Day,ED-Saint Francis of the Islands Episcopal Church ICP 1 - 0,433
Election Day,ED-Cooper Center  ICP 1 - 0,209
Election Day,ED-West Chatham Baptist Church  ICP 1 - 0,541
Election Day,ED-Veterans of Foreign Wars #660 ICP 1 - 0,784
Election Day,ED-Holy Spirit Lutheran Church  ICP 1 - 0,549
Provisional,ICC-Provisional - 1,36
Absentee by Mail,ICC-Absentee By Mail 1 - 40,4
