Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,20
Absentee by Mail,ICC-Absentee by Mail - 2,20
Absentee by Mail,ICC-Absentee by Mail - 3,20
Absentee by Mail,ICC-Absentee by Mail - 4,20
Absentee by Mail,ICC-Absentee by Mail - 5,20
Absentee by Mail,ICC-Absentee by Mail - 6,20
Absentee by Mail,ICC-Absentee by Mail - 7,20
Absentee by Mail,ICC-Absentee by Mail - 8,20
Absentee by Mail,ICC-Absentee by Mail - 9,20
Absentee by Mail,ICC-Absentee by Mail - 10,20
Absentee by Mail,ICC-Absentee by Mail - 11,20
Absentee by Mail,ICC-Absentee by Mail - 12,20
Absentee by Mail,ICC-Absentee by Mail - 13,20
Absentee by Mail,ICC-Absentee by Mail - 14,20
Absentee by Mail,ICC-Absentee by Mail - 15,20
Absentee by Mail,ICC-Absentee by Mail - 16,20
Absentee by Mail,ICC-Absentee by Mail - 17,20
Absentee by Mail,ICC-Absentee by Mail - 18,20
Absentee by Mail,ICC-Absentee by Mail - 19,2
Advance Voting,AV-Boundary Water AC ICP 1 - 0,1168
Advance Voting,AV-Boundary Water AC ICP 2 - 0,632
Advance Voting,AV-Woodie ICP 1 - 0,891
Advance Voting,AV-Woodie ICP 2 - 0,867
Advance Voting,AV-Old Courthouse ICP 1 - 0,792
Advance Voting,AV-Old Courthouse ICP 2 - 0,655
Advance Voting,AV-Dog River Library ICP 2 - 0,1608
Advance Voting,AV-Dog River Library ICP 1 - 0,1234
Advance Voting,AV-Lithia Springs Sr Ctr ICP 2 - 0,731
Advance Voting,AV-Lithia Springs Sr Ctr ICP 1 - 0,579
Advance Voting,AV-New Courthouse ICP 1 - 0,2096
Advance Voting,AV-New Courthouse ICP 2 - 0,2037
Advance Voting,AV-Deer Lick Park ICP 2 - 0,1247
Advance Voting,AV-Deer Lick Park ICP 1 - 0,1392
Absentee by Mail,ICC-Absentee by Mail - 20,20
Election Day,ED-St Julians ICP 2 - 0,120
Election Day,ED-St Julians ICP 1 - 0,191
Election Day,ED-First Baptist LS ICP 1 - 0,117
Election Day,ED-First Baptist LS ICP 2 - 0,117
Election Day,ED-Boundary Waters ICP 1 - 0,315
Election Day,ED-Boundary Waters ICP 2 - 0,239
Election Day,ED-Lutheran Church ICP 1 - 0,382
Election Day,ED-Lutheran Church ICP 2 - 0,321
Election Day,ED-Dorsett Shoals ICP 1 - 0,212
Election Day,ED-Dorsett Shoals ICP 2 - 0,165
Election Day,ED-Deer Lick ICP 2 - 0,160
Election Day,ED-Deer Lick ICP 1 - 0,166
Election Day,ED-Winston ICP 2 - 0,116
Election Day,ED-Winston ICP 1 - 0,127
Election Day,ED-Chestnut Log ICP 2 - 0,280
Election Day,ED-Chestnut Log ICP 1 - 0,300
Election Day,ED-Chapel Hill MS ICP 2 - 0,337
Election Day,ED-Chapel Hill MS ICP 1 - 0,221
Election Day,ED-Ephesus ICP 1 - 0,307
Election Day,ED-Ephesus ICP 2 - 0,351
Election Day,ED-Golden UMC ICP 1 - 0,179
Election Day,ED-Golden UMC ICP 2 - 0,530
Election Day,ED-Stewart ICP 2 - 0,84
Election Day,ED-Stewart ICP 1 - 0,286
Election Day,ED-Beulah ICP 2 - 0,247
Election Day,ED-Beulah ICP 1 - 0,227
Election Day,ED-Douglas CSB ICP 2 - 0,113
Election Day,ED-Douglas CSB ICP 1 - 0,173
Election Day,ED-Arbor Station ICP 1 - 0,216
Election Day,ED-Arbor Station ICP 2 - 0,192
Election Day,ED-Prays Mill ICP 2 - 0,296
Election Day,ED-Prays Mill ICP 1 - 0,451
Election Day,ED-Dog River ICP 2 - 0,422
Election Day,ED-Dog River ICP 1 - 0,221
Election Day,ED-Mirror Lake ICP 2 - 0,507
Election Day,ED-Mirror Lake ICP 1 - 0,553
Election Day,ED-Lithia Springs HS ICP 1 - 0,362
Election Day,ED-Lithia Springs HS ICP 2 - 0,412
Election Day,ED-St. Theresa's ICP 1 - 0,100
Election Day,ED-St. Theresa's ICP 2 - 0,299
Election Day,ED-Old Courthouse ICP 2 - 0,211
Election Day,ED-Old Courthouse ICP 1 - 0,256
Election Day,ED-Atlanta West ICP 2 - 0,102
Election Day,ED-Atlanta West ICP 1 - 0,180
Election Day,ED-Turner ICP 2 - 0,184
Election Day,ED-Turner ICP 1 - 0,235
Election Day,ED-Factory Shoals ICP 1 - 0,380
Election Day,ED-Factory Shoals ICP 2 - 0,340
Election Day,ED-Chapel Hill HS ICP 2 - 0,377
Election Day,ED-Chapel Hill HS ICP 1 - 0,500
Absentee by Mail,ICC-Absentee by Mail - 21,4
Provisional,ICC-Provisional - 1,24
