Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,21
Advance Voting,AV-County Courthouse ICP 1 - 0,1996
Election Day,ED-Berea-Steadman ICP 1 - 0,141
Election Day,ED-Seventh ICP 1 - 0,339
Election Day,ED-Little Creek ICP 1 - 0,184
Election Day,ED-Buchanan ICP 1 - 0,411
Election Day,ED-Twentieth ICP 1 - 0,178
Election Day,ED-Corinth ICP 1 - 0,311
Election Day,ED-Felton ICP 1 - 0,84
Election Day,ED-Waco ICP 1 - 0,234
Election Day,ED-Buncombe ICP 1 - 0,220
Election Day,ED-Tallapoosa ICP 1 - 0,519
Election Day,ED-Bremen ICP 1 - 0,961
Election Day,ED-Mt View ICP 1 - 0,87
Absentee by Mail,ICC-Absentee by Mail - 4,2
