Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,115
Absentee by Mail,ICC-Absentee by Mail - 2,82
Absentee by Mail,ICC-Absentee by Mail - 3,87
Absentee by Mail,ICC-Absentee by Mail - 4,63
Absentee by Mail,ICC-Absentee by Mail - 5,48
Absentee by Mail,ICC-Absentee by Mail - 6,35
Absentee by Mail,ICC-Absentee by Mail - 7,46
Advance Voting,AV-NHSC ICP 1 - 0,1210
Advance Voting,AV-HHPC ICP 1 - 0,3140
Advance Voting,AV-HHPC ICP 2 - 0,3103
Advance Voting,AV-Elections Office ICP 2 - 0,1674
Advance Voting,AV-Elections Office ICP 1 - 0,1713
Advance Voting,AV-CGTC ICP 2 - 0,2907
Advance Voting,AV-CGTC ICP 1 - 0,1519
Absentee by Mail,ICC-Absentee by Mail - 8,12
Absentee by Mail,ICC-Absentee by Mail - 9,3
Absentee by Mail,ICC-Absentee by Mail - 10,1
Election Day,ED-NHSC ICP 1 - 0,323
Election Day,ED-HAFS ICP 1 - 0,391
Election Day,ED-HHPC ICP 1 - 0,426
Election Day,ED-HHPC ICP 2 - 0,376
Election Day,ED-TMS ICP 2 - 0,631
Election Day,ED-MCMS ICP 2 - 0,667
Election Day,ED-MCMS ICP 1 - 0,650
Election Day,ED-ROZR ICP 2 - 0,469
Election Day,ED-ROZR ICP 1 - 0,646
Election Day,ED-ANNX ICP 1 - 0,598
Election Day,ED-VFW ICP 1 - 0,545
Election Day,ED-VHS ICP 1 - 0,594
Election Day,ED-VHS ICP 2 - 0,560
Election Day,ED-TWPK ICP 1 - 0,554
Election Day,ED-TWPK ICP 2 - 0,599
Election Day,ED-BMS ICP 1 - 0,635
Election Day,ED-BMS ICP 2 - 0,636
Election Day,ED-CENT ICP 2 - 0,530
Election Day,ED-CENT ICP1 - 0,653
Election Day,ED-CGTC ICP 1 - 0,650
Election Day,ED-HEFS ICP 1 - 0,325
Election Day,ED-PEC ICP 2 - 0,857
Election Day,ED-Wellston Center ICP 1 - 0,712
Election Day,ED-Wellston Center ICP 2 - 0,37
Election Day,ED-FMMS ICP 1 - 0,594
Election Day,ED-FMMS ICP 2 - 0,693
Absentee by Mail,ICC-Absentee by Mail - 11,11
Provisional,ICC-Provisional - 1,8
