Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,20
Absentee by Mail,Absentee By Mail ICC - 2,20
Absentee by Mail,Absentee By Mail ICC - 3,19
Absentee by Mail,Absentee By Mail ICC - 4,20
Absentee by Mail,Absentee By Mail ICC - 5,20
Absentee by Mail,Absentee By Mail ICC - 6,24
Advance Voting,AV-Elections Office ICP 1 - 0,1275
Absentee by Mail,Absentee By Mail ICC - 7,14
Election Day,ED-Camilla North ICP 1 - 0,225
Election Day,ED-Branchville ICP 1 - 0,125
Election Day,ED-Cotton ICP 1 - 0,148
Election Day,ED-Lester ICP 1 - 0,235
Election Day,ED-Hopeful ICP 1 - 0,76
Election Day,ED-Baconton ICP 1 - 0,176
Election Day,ED-Pelham ICP 1 - 0,411
Election Day,ED-Sale City ICP 1 - 0,118
Election Day,ED-Camilla South ICP 1 - 0,412
Absentee by Mail,Absentee By Mail ICC - 8,2
