Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,51
Absentee by Mail,ICC-Absentee by Mail - 2,49
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,49
Absentee by Mail,ICC-Absentee by Mail - 7,51
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,50
Absentee by Mail,ICC-Absentee by Mail - 13,50
Absentee by Mail,ICC-Absentee by Mail - 14,50
Absentee by Mail,ICC-Absentee by Mail - 15,54
Absentee by Mail,ICC-Absentee by Mail - 16,50
Absentee by Mail,ICC-Absentee by Mail - 17,35
Absentee by Mail,ICC-Absentee by Mail - 18,47
Absentee by Mail,ICC-Absentee by Mail - 19,50
Absentee by Mail,ICC-Absentee by Mail - 20,50
Absentee by Mail,ICC-Absentee by Mail - 21,50
Absentee by Mail,ICC-Absentee by Mail - 22,36
Absentee by Mail,ICC-Absentee by Mail - 23,51
Absentee by Mail,ICC-Absentee by Mail - 24,50
Absentee by Mail,ICC-Absentee by Mail - 25,50
Advance Voting,AV-Elections Office ICP 2 - 0,3074
Advance Voting,AV-Elections Office ICP 1 - 0,3329
Advance Voting,AV-Elections Office ICP 3 - 0,4430
Absentee by Mail,ICC-Absentee by Mail - 26,22
Advance Voting,AV-Elections Office ICP 4 - 0,820
Advance Voting,AV-Location 1 ICP 1 - 0,190
Advance Voting,AV-Location 1 ICP 3 - 0,3180
Advance Voting,AV-Location 1 ICP 2 - 0,225
Advance Voting,AV-Location 2 ICP 3 - 0,599
Advance Voting,AV-Location 2 ICP 1 - 0,777
Advance Voting,AV-Location 2 ICP 2 - 0,3565
Absentee by Mail,ICC-Absentee by Mail - 27,22
Absentee by Mail,ICC-Absentee by Mail - 28,26
Election Day,ED-Wynnbrook ICP 1 - 0,675
Election Day,ED-St Paul ICP 1 - 0,1020
Election Day,ED-Ambassadors ICP 1 - 0,669
Election Day,ED-First African ICP 1 - 0,229
Election Day,ED-Beallwood ICP 1 - 0,405
Election Day,ED-Salvation Army ICP 1 - 0,495
Election Day,ED-Our Lady of Lourdes ICP 2 - 0,600
Election Day,ED-Canaan ICP 1 - 0,569
Election Day,ED-Columbus Public Library ICP 1 - 0,264
Election Day,ED-Victory Mission ICP 1 - 0,372
Election Day,ED-Edgewood Baptist ICP 1 - 0,396
Election Day,ED-Marianna Gallops ICP 1 - 0,245
Election Day,ED-Mt Pilgrim ICP 1 - 0,578
Election Day,ED-Epworth UMC ICP 1 - 0,565
Election Day,ED-St John-Shirley Winston ICP 1 - 0,400
Election Day,ED-St John-Shirley Winston ICP 2 - 0,1
Election Day,ED-Central Baptist ICP 1 - 0,387
Election Day,ED-Central Baptist ICP 2 - 0,850
Election Day,ED-Gateway Abundant Life ICP 2 - 0,159
Election Day,ED-Gateway Abundant Life ICP 1 - 0,409
Election Day,ED-Morningside ICP 1 - 0,686
Election Day,ED-Psalmond ICP 1 - 0,1351
Election Day,ED-St Andrews ICP 1 - 0,683
Election Day,ED-St Andrews ICP 2 - 0,597
Election Day,ED-Faith Tabernacle ICP 1 - 0,459
Election Day,ED-Britt David ICP 1 - 0,441
Election Day,ED-New Mt Zion ICP 1 - 0,481
Election Day,ED-St Peter ICP 1 - 0,628
Election Day,ED-Chattahoochee ICP 2 - 0,329
Election Day,ED-Chattahoochee ICP 1 - 0,536
Provisional,ICC-Provisional - 1,17
Absentee by Mail,ICC-Absentee by Mail - 30,4
