Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,100
Absentee by Mail,ICC-Absentee by Mail - 2,120
Absentee by Mail,ICC-Absentee by Mail - 3,5
Absentee by Mail,ICC-Absentee by Mail - 4,17
Advance Voting,AV-Elections Office ICP 1 - 0,3325
Advance Voting,AV-Elections Office ICP 2 - 0,3315
Election Day,ED-Oconee South ICP 1 - 0,712
Election Day,ED-Dark Corner ICP 1 - 0,874
Election Day,ED-Oconee NE ICP 1 - 0,1235
Election Day,ED-Oconee Central ICP 1 - 0,883
Election Day,ED-Oconee Central ICP 2 - 0,933
Election Day,ED-Oconee Central ICP 3 - 0,920
Provisional,ICC-Provisional - 1,4
Absentee by Mail,ICC-Absentee by Mail - 5,2
