Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 3,7
Absentee by Mail,ICC-Absentee by Mail - 2,30
Absentee by Mail,ICC-Absentee by Mail - 1,44
Absentee by Mail,ICC-Absentee by Mail - 6,2
Absentee by Mail,ICC-Absentee by Mail - 5,18
Absentee by Mail,ICC-Absentee by Mail - 4,49
Absentee by Mail,ICC-Absentee by Mail - 11,2
Absentee by Mail,ICC-Absentee by Mail - 10,28
Absentee by Mail,ICC-Absentee by Mail - 7,49
Absentee by Mail,ICC-Absentee by Mail - 8,49
Absentee by Mail,ICC-Absentee by Mail - 9,50
Advance Voting,AV-Elections Office ICP 1 - 0,2495
Advance Voting,AV-Elections Office ICP 2 - 0,2492
Advance Voting,AV-Location 1 ICP 1 - 0,2491
Absentee by Mail,ICC-Absentee by Mail - 12,24
Absentee by Mail,ICC-Absentee by Mail - 13,6
Absentee by Mail,ICC-Absentee by Mail - 14,2
Election Day,ED-P8 ICP 1 - 0,850
Election Day,ED-P1 ICP 1 - 0,700
Election Day,ED-P2 ICP 1 - 0,901
Election Day,ED-P5 ICP 1 - 0,750
Election Day,ED-P4 ICP 1 - 0,871
Election Day,ED-P6 ICP 1 - 0,732
Election Day,ED-P3 ICP 1 - 0,775
Election Day,ED-P7 ICP 1 - 0,766
Provisional,ICC-Provisional - 1,9
