Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2225
Election Day,ED-15361 Lyons 1 ICP 1 - 0,370
Election Day,ED-514 STIALC ICP 1 - 0,393
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,20
Absentee by Mail,ICC-Absentee by Mail - 3,17
Absentee by Mail,ICC-Absentee by Mail - 4,1
Absentee by Mail,ICC-Absentee by Mail - 5,1
Absentee by Mail,ICC-Absentee by Mail - 6,1
Absentee by Mail,ICC-Absentee by Mail - 7,1
Absentee by Mail,ICC-Absentee by Mail - 8,1
Absentee by Mail,ICC-Absentee by Mail - 9,1
Absentee by Mail,ICC-Absentee by Mail - 10,1
Election Day,ED-43 Cedar Crossing ICP 1 - 0,327
Election Day,ED-513 VPD ICP 1 - 0,773
Election Day,ED-39 Newbranch ICP 1 - 0,297
Provisional,ICC-Provisional - 1,3
