Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 2 - 0,1894
Advance Voting,AV-Elections Office ICP 1 - 0,1935
Absentee by Mail,ICC-Absentee by Mail - 1,32
Absentee by Mail,ICC-Absentee by Mail - 2,43
Absentee by Mail,ICC-Absentee by Mail - 3,29
Absentee by Mail,ICC-Absentee by Mail - 4,39
Absentee by Mail,ICC-Absentee by Mail - 5,36
Absentee by Mail,ICC-Absentee by Mail - 6,56
Absentee by Mail,ICC-Absentee by Mail - 7,20
Absentee by Mail,ICC-Absentee by Mail - 8,28
Election Day,ED-02-Whitesville Rd ICP 1 - 0,287
Election Day,ED-04-Griggs ICP 1 - 0,436
Election Day,ED-08-Rosemont ICP 1 - 0,693
Election Day,ED-09-Mountville ICP 1 - 0,429
Election Day,ED-03-Hammett ICP 1 - 0,511
Election Day,ED-03-Hammett ICP 2 - 0,344
Election Day,ED-13-Gray Hill ICP 1 - 0,395
Election Day,ED-11-Grace ICP 2 - 0,555
Election Day,ED-11-Grace ICP 1 - 0,666
Election Day,ED-06-Hogansville ICP 1 - 0,650
Election Day,ED-05-West Point ICP 1 - 0,368
Election Day,ED-01-Broad St ICP 2 - 0,464
Election Day,ED-10-Hillcrest ICP 1 - 0,706
Election Day,ED-01-Broad St ICP 1 - 0,652
Provisional,ICC-Provisional - 1,4
