Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,5
Advance Voting,AV-Fairyland ICP 1 - 0,157
Advance Voting,AV-Chickamauga ICP 1 - 0,918
Advance Voting,AV-Elections Office ICP 1 - 0,1807
Advance Voting,AV-Rossville ICP 1 - 0,770
Election Day,ED-Lafayette ICP 1 - 0,538
Election Day,ED-Rock Spring ICP 1 - 0,847
Election Day,ED-Kensington ICP 1 - 0,268
Election Day,ED-Fairview ICP 1 - 0,355
Election Day,ED-Rossville ICP 1 - 0,571
Election Day,ED-Chickamauga ICP 1 - 0,746
Election Day,ED-Walnut Grove ICP 1 - 0,293
Election Day,ED-Fairyland ICP 1 - 0,208
Election Day,ED-Chattanooga Valley ICP 1 - 0,824
Election Day,ED-Armuchee Valley ICP 1 - 0,333
Election Day,ED-Mountain ICP 1 - 0,234
Provisional,ICC-Provisional - 1,1
